Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('RegOpenKeyExW';),370,303,67
('LoadLibraryA';),362,296,66
('GetProcAddress';),278,218,60
('RegOpenKeyExA';),372,305,67
('LocalAlloc';),321,274,47
('HeapAlloc';),332,285,47
('HeapFree';),332,285,47
('IsBadReadPtr';),299,252,47
('IsBadWritePtr';),300,253,47
('LocalFree';),320,273,47
('RegQueryValueExW';),351,295,56
('RegCloseKey';),362,305,57
('GetCurrentThread';),298,252,46
('GlobalAlloc';),281,235,46
('GlobalLock';),269,223,46
('GetCurrentThreadId';),332,285,47
('RegQueryValueW';),266,218,48
('GlobalUnlock';),268,222,46
('RegEnumKeyW';),265,219,46
('IsBadStringPtrW';),296,250,46
('GetCurrentProcessId';),311,265,46
('GlobalReAlloc';),260,215,45
('GlobalSize';),257,211,46
('GlobalFree';),276,230,46
('RegEnumValueW';),329,276,53
('GetEnvironmentVariableW';),282,236,46
('RegCreateKeyExW';),216,170,46
('LoadLibraryExW';),289,246,43
('RegSetValueExW';),274,228,46
('CreateProcessW';),263,215,48
('SetThreadPriority';),168,123,45
('OpenProcess';),168,122,46
('GetModuleFileNameW';),184,152,32
('ReadFile';),160,152,8
('LoadLibraryW';),175,137,38
('GetFileAttributesW';),242,242,0
('GetFullPathNameW';),248,248,0
('GetLongPathNameW';),223,223,0
('GetFileAttributesW'; 'GetCurrentThreadId'),238,238,0
('RegCloseKey'; 'LocalAlloc'),315,268,47
('HeapAlloc'; 'RegSetValueExW'),273,227,46
('RegEnumKeyW'; 'GlobalLock'),257,212,45
('GetFullPathNameW'; 'GetCurrentThreadId'),243,243,0
('HeapAlloc'; 'GlobalUnlock'),268,222,46
('HeapFree'; 'SetThreadPriority'),165,120,45
('HeapFree'; 'GetFileAttributesW'),242,242,0
('GetEnvironmentVariableW'; 'GetProcAddress'),172,134,38
('RegCreateKeyExW'; 'HeapFree'),195,150,45
('RegEnumValueW'; 'GetFullPathNameW'),232,232,0
('IsBadStringPtrW'; 'CreateProcessW'),259,213,46
('SetThreadPriority'; 'LocalFree'),166,121,45
('RegQueryValueW'; 'RegOpenKeyExW'),265,218,47
('LocalFree'; 'GetEnvironmentVariableW'),282,236,46
('GetFileAttributesW'; 'RegQueryValueExW'),232,232,0
('GlobalReAlloc'; 'CreateProcessW'),256,211,45
('GlobalUnlock'; 'LocalFree'),265,219,46
('RegOpenKeyExW'; 'LoadLibraryA'),350,286,64
('LocalFree'; 'CreateProcessW'),261,215,46
('RegEnumKeyW'; 'GlobalFree'),257,212,45
('GlobalAlloc'; 'RegQueryValueExW'),272,227,45
('HeapAlloc'; 'GetFullPathNameW'),248,248,0
('LocalAlloc'; 'GetProcAddress'),210,171,39
('HeapFree'; 'LoadLibraryA'),311,266,45
('IsBadWritePtr'; 'LocalFree'),300,253,47
('LocalFree'; 'RegEnumValueW'),283,237,46
('IsBadReadPtr'; 'LoadLibraryExW'),284,243,41
('GetLongPathNameW'; 'GetCurrentProcessId'),217,217,0
('HeapAlloc'; 'RegOpenKeyExA'),321,275,46
('GlobalFree'; 'SetThreadPriority'),163,119,44
('GlobalFree'; 'GetFileAttributesW'),216,216,0
('RegOpenKeyExW'; 'LocalAlloc'),314,267,47
('IsBadStringPtrW'; 'RegOpenKeyExW'),282,236,46
('HeapAlloc'; 'GetLongPathNameW'),223,223,0
('RegQueryValueExW'; 'LocalAlloc'),307,260,47
('GlobalReAlloc'; 'RegOpenKeyExW'),260,215,45
('RegSetValueExW'; 'RegQueryValueExW'),271,226,45
('HeapFree'; 'LocalAlloc'),321,274,47
('GetEnvironmentVariableW'; 'OpenProcess'),166,120,46
('GetLongPathNameW'; 'IsBadWritePtr'),215,215,0
('CreateProcessW'; 'LocalFree'),261,215,46
('RegOpenKeyExA'; 'RegCloseKey'),359,303,56
('GlobalFree'; 'LoadLibraryA'),264,220,44
('GetProcAddress'; 'RegQueryValueExW'),241,194,47
('IsBadReadPtr'; 'GetFullPathNameW'),245,245,0
('RegEnumKeyW'; 'RegCreateKeyExW'),182,137,45
('GlobalSize'; 'RegEnumValueW'),256,211,45
('RegEnumKeyW'; 'GlobalSize'),256,211,45
('GetLongPathNameW'; 'GetCurrentThread'),210,210,0
('GetCurrentProcessId'; 'GetCurrentProcessId'),305,260,45
('GetCurrentProcessId'; 'IsBadReadPtr'),289,243,46
('LocalAlloc'; 'OpenProcess'),168,122,46
('IsBadStringPtrW'; 'LocalFree'),296,250,46
('OpenProcess'; 'HeapAlloc'),166,120,46
('GlobalAlloc'; 'LoadLibraryExW'),250,212,38
('GetFileAttributesW'; 'RegSetValueExW'),225,225,0
('RegOpenKeyExA'; 'IsBadReadPtr'),298,252,46
('LocalFree'; 'LocalFree'),314,267,47
('GlobalReAlloc'; 'LocalFree'),260,215,45
('GetEnvironmentVariableW'; 'GlobalUnlock'),259,214,45
('GetFileAttributesW'; 'GlobalUnlock'),215,215,0
('RegCloseKey'; 'GlobalReAlloc'),260,215,45
('GlobalAlloc'; 'RegSetValueExW'),264,219,45
('GlobalFree'; 'LocalAlloc'),270,224,46
('LoadLibraryA'; 'GetCurrentProcessId'),188,152,36
('LocalAlloc'; 'HeapFree'),320,273,47
('GlobalUnlock'; 'GetProcAddress'),163,124,39
('GetCurrentProcessId'; 'IsBadWritePtr'),289,243,46
('GetFullPathNameW'; 'LocalFree'),246,246,0
('SetThreadPriority'; 'RegQueryValueExW'),162,117,45
('GlobalSize'; 'GetFileAttributesW'),211,211,0
('GetCurrentThread'; 'RegEnumValueW'),273,227,46
('GlobalUnlock'; 'RegQueryValueExW'),263,218,45
('GetEnvironmentVariableW'; 'GlobalFree'),265,220,45
('LocalAlloc'; 'GlobalLock'),268,222,46
('IsBadWritePtr'; 'GetProcAddress'),195,156,39
('RegCloseKey'; 'HeapFree'),321,274,47
('GetFileAttributesW'; 'GetFullPathNameW'),229,229,0
('RegEnumKeyW'; 'IsBadStringPtrW'),260,214,46
('RegCloseKey'; 'LoadLibraryW'),158,122,36
('RegSetValueExW'; 'RegSetValueExW'),271,226,45
('GlobalLock'; 'LoadLibraryExW'),246,208,38
('GlobalAlloc'; 'GetFullPathNameW'),218,218,0
('GetEnvironmentVariableW'; 'RegOpenKeyExA'),274,228,46
('RegSetValueExW'; 'GlobalUnlock'),258,213,45
('GetFileAttributesW'; 'RegOpenKeyExA'),228,228,0
('GetCurrentThread'; 'GetFileAttributesW'),236,236,0
('RegCloseKey'; 'GlobalLock'),267,221,46
('GlobalSize'; 'LoadLibraryA'),250,206,44
('GetCurrentProcessId'; 'GetCurrentThreadId'),307,261,46
('LocalAlloc'; 'GlobalFree'),272,226,46
('GetEnvironmentVariableW'; 'GetLongPathNameW'),218,218,0
('IsBadReadPtr'; 'RegEnumKeyW'),265,219,46
('RegCreateKeyExW'; 'HeapAlloc'),195,150,45
('GetFileAttributesW'; 'GetLongPathNameW'),223,223,0
('RegOpenKeyExA'; 'GetCurrentThreadId'),313,267,46
('HeapAlloc'; 'RegCloseKey'),322,275,47
('RegEnumValueW'; 'GetCurrentProcessId'),285,239,46
('LoadLibraryA'; 'GetCurrentThread'),288,244,44
('RegEnumValueW'; 'IsBadReadPtr'),289,243,46
('RegOpenKeyExW'; 'GlobalReAlloc'),260,215,45
('GetProcAddress'; 'RegSetValueExW'),164,129,35
('RegQueryValueW'; 'RegQueryValueExW'),265,218,47
('RegQueryValueExW'; 'GlobalReAlloc'),260,215,45
('LoadLibraryExW'; 'LoadLibraryA'),272,232,40
('GlobalUnlock'; 'RegQueryValueW'),256,211,45
('GlobalUnlock'; 'OpenProcess'),159,114,45
('GetCurrentThreadId'; 'SetThreadPriority'),168,123,45
('RegSetValueExW'; 'GetFullPathNameW'),216,216,0
('CreateProcessW'; 'RegQueryValueExW'),254,207,47
('HeapFree'; 'GlobalReAlloc'),260,215,45
('GlobalSize'; 'LocalAlloc'),257,211,46
('GlobalUnlock'; 'GlobalAlloc'),261,215,46
('RegEnumValueW'; 'IsBadWritePtr'),290,244,46
('HeapAlloc'; 'IsBadReadPtr'),299,252,47
('GetCurrentThread'; 'LoadLibraryA'),277,233,44
('RegQueryValueExW'; 'OpenProcess'),164,118,46
('GetCurrentProcessId'; 'GetEnvironmentVariableW'),273,228,45
('GetCurrentProcessId'; 'CreateProcessW'),260,215,45
('RegOpenKeyExW'; 'HeapFree'),321,274,47
('IsBadWritePtr'; 'OpenProcess'),161,115,46
('IsBadWritePtr'; 'RegQueryValueW'),264,218,46
('LocalAlloc'; 'GetModuleFileNameW'),181,149,32
('GlobalLock'; 'GetFullPathNameW'),215,215,0
('RegOpenKeyExA'; 'GetEnvironmentVariableW'),282,236,46
('GetEnvironmentVariableW'; 'RegCreateKeyExW'),192,147,45
('RegOpenKeyExW'; 'LoadLibraryW'),160,122,38
('IsBadWritePtr'; 'GlobalAlloc'),268,222,46
('RegQueryValueExW'; 'HeapFree'),312,265,47
('LocalFree'; 'GetProcAddress'),208,170,38
('SetThreadPriority'; 'RegSetValueExW'),158,114,44
('IsBadStringPtrW'; 'RegQueryValueExW'),296,250,46
('IsBadStringPtrW'; 'GlobalAlloc'),265,220,45
('RegSetValueExW'; 'GetLongPathNameW'),215,215,0
('LoadLibraryExW'; 'LocalAlloc'),287,246,41
