Pattern_name,total_count,ben_counts,mal_counts,ben_percent,mal_percent,percent_diff_ben,percent_diff_mal
('RegOpenKeyExW'; 'LoadLibraryA'; 'RegOpenKeyExA'),334,64,270,0.941176471,0.84375,0.097426471,0
('LoadLibraryA'; 'RegOpenKeyExA'),344,65,279,0.955882353,0.871875,0.084007353,0
('RegOpenKeyExW'; 'LoadLibraryA'),350,64,286,0.941176471,0.89375,0.047426471,0
LoadLibraryA,362,66,296,0.970588235,0.925,0.045588235,0
('RegOpenKeyExW'; 'RegOpenKeyExA'),364,66,298,0.970588235,0.93125,0.039338235,0
RegOpenKeyExW,370,67,303,0.985294118,0.946875,0.038419118,0
RegOpenKeyExA,372,67,305,0.985294118,0.953125,0.032169118,0
('RegOpenKeyExW'; 'LoadLibraryA'; 'RegOpenKeyExW'; 'RegOpenKeyExA'; 'RegOpenKeyExA'),315,57,258,0.838235294,0.80625,0.031985294,0
('RegOpenKeyExW'; 'RegOpenKeyExW'; 'LoadLibraryA'; 'RegOpenKeyExA'; 'RegOpenKeyExA'),317,57,260,0.838235294,0.8125,0.025735294,0
('RegOpenKeyExW'; 'LoadLibraryA'; 'RegOpenKeyExA'; 'RegOpenKeyExA'),325,58,267,0.852941176,0.834375,0.018566176,0
('RegOpenKeyExW'; 'RegOpenKeyExW'; 'LoadLibraryA'; 'RegOpenKeyExA'),321,57,264,0.838235294,0.825,0.013235294,0
('RegOpenKeyExW'; 'LoadLibraryA'; 'RegOpenKeyExW'; 'RegOpenKeyExA'),321,57,264,0.838235294,0.825,0.013235294,0
('LoadLibraryA'; 'RegOpenKeyExW'; 'RegOpenKeyExA'; 'RegOpenKeyExA'),321,57,264,0.838235294,0.825,0.013235294,0
('RegOpenKeyExW'; 'RegOpenKeyExW'; 'RegOpenKeyExA'; 'RegOpenKeyExA'),333,59,274,0.867647059,0.85625,0.011397059,0
('LoadLibraryA'; 'RegOpenKeyExA'; 'RegOpenKeyExA'),334,59,275,0.867647059,0.859375,0.008272059,0
RegQueryValueExW,351,56,295,0.823529412,0.921875,0,0.098345588
RegEnumValueW,329,53,276,0.779411765,0.8625,0,0.083088235
RegCloseKey,362,57,305,0.838235294,0.953125,0,0.114889706
LocalFree,320,47,273,0.691176471,0.853125,0,0.161948529
LocalAlloc,321,47,274,0.691176471,0.85625,0,0.165073529
HeapFree,332,47,285,0.691176471,0.890625,0,0.199448529
HeapAlloc,332,47,285,0.691176471,0.890625,0,0.199448529
GetCurrentThreadId,332,47,285,0.691176471,0.890625,0,0.199448529
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'),318,51,267,0.75,0.834375,0,0.084375
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExW'),315,49,266,0.720588235,0.83125,0,0.110661765
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegOpenKeyExA'),322,53,269,0.779411765,0.840625,0,0.061213235
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegCloseKey'),338,54,284,0.794117647,0.8875,0,0.093382353
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'LoadLibraryA'),316,51,265,0.75,0.828125,0,0.078125
('RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'; 'RegQueryValueExW'),338,54,284,0.794117647,0.8875,0,0.093382353
