('Sleep';),benign
Pattern,Present,Absent
('RegOpenKeyW';),benign,malicious
('HeapSize';),benign,malicious
('GetCurrentProcess';),benign,malicious
('GetThreadPriority';),benign,malicious
('SetThreadPriority';),benign,malicious
('OpenProcess';),benign,malicious
('ReadFile';),malicious,benign
('GetDriveTypeW';),malicious,benign
('GetFileAttributesW';),malicious,benign
('GetFullPathNameW';),malicious,benign
('GetLongPathNameW';),malicious,benign
('CreateFileW';),malicious,benign
('SearchPathW';),malicious,benign
('GetFileSize';),malicious,benign
