('LoadLibraryA'; 'GlobalFree'),158,114,44
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('SetThreadPriority';),107,65,42
('OpenProcess';),103,60,43
('ReadFile';),66,66,0
('GetFileAttributesW';),112,112,0
('GetFullPathNameW';),108,108,0
('GetLongPathNameW';),101,101,0
('GetLongPathNameW'; 'RegQueryValueExW'),100,100,0
('GlobalReAlloc'; 'RegCreateKeyExW'),109,67,42
('GetFileAttributesW'; 'RegSetValueExW'),107,107,0
('GetLongPathNameW'; 'HeapAlloc'),101,101,0
('SetThreadPriority'; 'HeapFree'),106,64,42
('GetLongPathNameW'; 'RegCloseKey'),101,101,0
('GetFileAttributesW'; 'LocalAlloc'),111,111,0
('GlobalLock'; 'OpenProcess'),102,59,43
('RegOpenKeyExA'; 'GetFullPathNameW'),107,107,0
('OpenProcess'; 'SetThreadPriority'),98,56,42
('OpenProcess'; 'RegOpenKeyExW'),102,59,43
('RegOpenKeyExA'; 'GetFileAttributesW'),111,111,0
('GetCurrentThreadId'; 'GetFileAttributesW'),112,112,0
('GlobalReAlloc'; 'GetLongPathNameW'),97,97,0
('SetThreadPriority'; 'SetThreadPriority'),97,56,41
('LocalFree'; 'GetFullPathNameW'),108,108,0
('GetFullPathNameW'; 'IsBadWritePtr'),107,107,0
('GetLongPathNameW'; 'HeapFree'),101,101,0
('LocalFree'; 'GetFileAttributesW'),111,111,0
('GetFullPathNameW'; 'IsBadReadPtr'),107,107,0
('GetCurrentThreadId'; 'GetLongPathNameW'),101,101,0
('GetCurrentThread'; 'GetLongPathNameW'),98,98,0
('GlobalSize'; 'OpenProcess'),100,57,43
('GlobalLock'; 'GetFullPathNameW'),100,100,0
('SetThreadPriority'; 'RegCreateKeyExW'),104,63,41
('RegEnumKeyW'; 'RegCreateKeyExW'),109,67,42
('GetFileAttributesW'; 'LoadLibraryA'),109,109,0
('LoadLibraryExW'; 'GetLongPathNameW'),98,98,0
('RegOpenKeyExW'; 'SetThreadPriority'),104,62,42
('HeapAlloc'; 'GetFullPathNameW'),108,108,0
('GetLongPathNameW'; 'GetCurrentProcessId'),100,100,0
('HeapAlloc'; 'GetFileAttributesW'),112,112,0
('HeapFree'; 'GetLongPathNameW'),101,101,0
('RegEnumKeyW'; 'GetLongPathNameW'),97,97,0
('GlobalUnlock'; 'GetFullPathNameW'),100,100,0
('HeapAlloc'; 'GetLongPathNameW'),101,101,0
('GlobalUnlock'; 'GetFileAttributesW'),100,100,0
('SetThreadPriority'; 'RegOpenKeyExA'),104,63,41
('RegOpenKeyExW'; 'OpenProcess'),103,60,43
('HeapFree'; 'SetThreadPriority'),104,62,42
('GetCurrentProcessId'; 'OpenProcess'),102,59,43
('GetFileAttributesW'; 'RegEnumValueW'),104,104,0
('GetFullPathNameW'; 'GetFullPathNameW'),101,101,0
('GetFullPathNameW'; 'RegSetValueExW'),102,102,0
('GlobalUnlock'; 'GetLongPathNameW'),99,99,0
('RegQueryValueExW'; 'OpenProcess'),103,60,43
('GlobalReAlloc'; 'SetThreadPriority'),103,61,42
('GlobalAlloc'; 'OpenProcess'),102,59,43
('GetLongPathNameW'; 'RegOpenKeyExA'),97,97,0
('SetThreadPriority'; 'IsBadStringPtrW'),99,58,41
('SetThreadPriority'; 'LocalFree'),106,64,42
('SetThreadPriority'; 'GetCurrentThread'),105,64,41
('GetCurrentThreadId'; 'SetThreadPriority'),107,65,42
('OpenProcess'; 'RegOpenKeyExA'),101,58,43
('GetCurrentThread'; 'SetThreadPriority'),105,63,42
('GetFullPathNameW'; 'GlobalUnlock'),102,102,0
('RegOpenKeyExW'; 'GetFullPathNameW'),108,108,0
('GetFileAttributesW'; 'RegCloseKey'),111,111,0
('GetLongPathNameW'; 'IsBadStringPtrW'),99,99,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),99,99,0
('GlobalReAlloc'; 'OpenProcess'),100,57,43
('CreateProcessW'; 'GetLongPathNameW'),97,97,0
('GetLongPathNameW'; 'GetCurrentThread'),96,96,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),104,104,0
('OpenProcess'; 'IsBadStringPtrW'),101,59,42
('OpenProcess'; 'LocalFree'),103,60,43
('GetCurrentThreadId'; 'OpenProcess'),103,60,43
('SetThreadPriority'; 'IsBadWritePtr'),104,63,41
('SetThreadPriority'; 'RegOpenKeyExW'),106,64,42
('GetFileAttributesW'; 'HeapFree'),112,112,0
('RegEnumKeyW'; 'SetThreadPriority'),103,61,42
('GetEnvironmentVariableW'; 'GetLongPathNameW'),98,98,0
('SetThreadPriority'; 'IsBadReadPtr'),104,63,41
('GlobalReAlloc'; 'GetFullPathNameW'),98,98,0
('GetLongPathNameW'; 'GlobalFree'),98,98,0
('GetLongPathNameW'; 'RegOpenKeyExW'),100,100,0
('GlobalReAlloc'; 'GetFileAttributesW'),97,97,0
('GlobalUnlock'; 'SetThreadPriority'),103,61,42
('GetCurrentThreadId'; 'GetFullPathNameW'),108,108,0
('HeapFree'; 'OpenProcess'),103,60,43
('RegEnumKeyW'; 'OpenProcess'),100,57,43
('OpenProcess'; 'IsBadWritePtr'),103,60,43
('GetFileAttributesW'; 'GetCurrentProcessId'),107,107,0
('GetCurrentThread'; 'GetFullPathNameW'),100,100,0
('GetFullPathNameW'; 'CreateProcessW'),97,97,0
('OpenProcess'; 'IsBadReadPtr'),101,59,42
('GetCurrentThread'; 'GetFileAttributesW'),108,108,0
('HeapAlloc'; 'OpenProcess'),103,60,43
('GetFileAttributesW'; 'LoadLibraryExW'),102,102,0
('GlobalUnlock'; 'OpenProcess'),101,58,43
('GetFileAttributesW'; 'GetLongPathNameW'),101,101,0
('HeapFree'; 'GetFullPathNameW'),108,108,0
('GetFullPathNameW'; 'RegQueryValueExW'),107,107,0
('RegEnumKeyW'; 'GetFullPathNameW'),97,97,0
('CreateProcessW'; 'SetThreadPriority'),103,61,42
('GlobalFree'; 'RegCreateKeyExW'),110,68,42
('HeapFree'; 'GetFileAttributesW'),112,112,0
