IsBadReadPtr, RegCreateKeyExW
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),113,113,0
('GetFileAttributesW';),144,144,0
('GetFullPathNameW';),143,143,0
('GetLongPathNameW';),136,136,0
('IsBadReadPtr'; 'GetFullPathNameW'),143,143,0
('GetLongPathNameW'; 'IsBadWritePtr'),133,133,0
('GetFullPathNameW'; 'IsBadWritePtr'),140,140,0
('LocalFree'; 'GetFileAttributesW'),144,144,0
('GetFileAttributesW'; 'IsBadWritePtr'),140,140,0
('RegQueryValueW'; 'GetLongPathNameW'),135,135,0
('GlobalLock'; 'GetLongPathNameW'),132,132,0
('CreateProcessW'; 'GetLongPathNameW'),132,132,0
('RegQueryValueW'; 'GetFullPathNameW'),134,134,0
('RegSetValueExW'; 'GlobalReAlloc'),156,131,25
('GlobalLock'; 'GetFullPathNameW'),134,134,0
('RegSetValueExW'; 'GlobalSize'),157,132,25
('LocalAlloc'; 'GetFileAttributesW'),144,144,0
('GlobalUnlock'; 'GetFileAttributesW'),133,133,0
('RegEnumValueW'; 'GetLongPathNameW'),136,136,0
('GetLongPathNameW'; 'HeapAlloc'),136,136,0
('GetLongPathNameW'; 'IsBadReadPtr'),133,133,0
('RegOpenKeyExA'; 'ReadFile'),113,113,0
('GetFullPathNameW'; 'HeapAlloc'),143,143,0
('GetFullPathNameW'; 'IsBadReadPtr'),140,140,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),140,140,0
('LocalFree'; 'GetLongPathNameW'),136,136,0
('LocalFree'; 'GetFullPathNameW'),143,143,0
('LocalAlloc'; 'GetLongPathNameW'),136,136,0
('LocalAlloc'; 'GetFullPathNameW'),143,143,0
('RegCloseKey'; 'GetFileAttributesW'),144,144,0
('GetLongPathNameW'; 'RegOpenKeyExA'),134,134,0
('GetCurrentProcessId'; 'GetLongPathNameW'),136,136,0
('GlobalUnlock'; 'GetLongPathNameW'),132,132,0
('GlobalUnlock'; 'GetFullPathNameW'),134,134,0
('GetCurrentThreadId'; 'GetFileAttributesW'),144,144,0
('GlobalAlloc'; 'GetLongPathNameW'),133,133,0
('GetLongPathNameW'; 'GlobalUnlock'),131,131,0
('GetFileAttributesW'; 'RegOpenKeyExA'),144,144,0
('GetFullPathNameW'; 'GlobalUnlock'),133,133,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),136,136,0
('GlobalSize'; 'GetFileAttributesW'),132,132,0
('RegOpenKeyExA'; 'GetFileAttributesW'),144,144,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),138,138,0
('GetCurrentThread'; 'GetFileAttributesW'),144,144,0
('RegEnumValueW'; 'GetFileAttributesW'),143,143,0
('RegCloseKey'; 'GetLongPathNameW'),136,136,0
('RegCloseKey'; 'GetFullPathNameW'),143,143,0
('RegEnumKeyW'; 'GetFileAttributesW'),137,137,0
('GetCurrentThreadId'; 'GetLongPathNameW'),136,136,0
('GetFullPathNameW'; 'LoadLibraryExW'),134,134,0
('GetCurrentThreadId'; 'GetFullPathNameW'),143,143,0
('GetFullPathNameW'; 'RegSetValueExW'),139,139,0
('GetLongPathNameW'; 'GlobalFree'),131,131,0
