RegCreateKeyExW, RegSetValueExW
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),109,109,0
('GetFileAttributesW';),139,139,0
('GetFullPathNameW';),135,135,0
('GetLongPathNameW';),129,129,0
('IsBadReadPtr'; 'GetFullPathNameW'),135,135,0
('GetLongPathNameW'; 'IsBadWritePtr'),126,126,0
('GetFullPathNameW'; 'IsBadWritePtr'),132,132,0
('LocalFree'; 'GetFileAttributesW'),139,139,0
('GetFileAttributesW'; 'IsBadWritePtr'),133,133,0
('RegQueryValueW'; 'GetLongPathNameW'),128,128,0
('GlobalLock'; 'GetLongPathNameW'),125,125,0
('CreateProcessW'; 'GetLongPathNameW'),125,125,0
('RegQueryValueW'; 'GetFullPathNameW'),127,127,0
('RegSetValueExW'; 'GlobalReAlloc'),149,124,25
('GlobalLock'; 'GetFullPathNameW'),126,126,0
('RegSetValueExW'; 'GlobalSize'),150,125,25
('LocalAlloc'; 'GetFileAttributesW'),139,139,0
('GlobalUnlock'; 'GetFileAttributesW'),126,126,0
('RegEnumValueW'; 'GetLongPathNameW'),129,129,0
('GetLongPathNameW'; 'HeapAlloc'),129,129,0
('GetLongPathNameW'; 'IsBadReadPtr'),126,126,0
('RegOpenKeyExA'; 'ReadFile'),109,109,0
('GetFullPathNameW'; 'HeapAlloc'),135,135,0
('GetFullPathNameW'; 'IsBadReadPtr'),132,132,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),135,135,0
('LocalFree'; 'GetLongPathNameW'),129,129,0
('LocalFree'; 'GetFullPathNameW'),135,135,0
('LocalAlloc'; 'GetLongPathNameW'),129,129,0
('LocalAlloc'; 'GetFullPathNameW'),135,135,0
('RegCloseKey'; 'GetFileAttributesW'),139,139,0
('GetLongPathNameW'; 'RegOpenKeyExA'),127,127,0
('GetCurrentProcessId'; 'GetLongPathNameW'),129,129,0
('GlobalUnlock'; 'GetLongPathNameW'),125,125,0
('GlobalUnlock'; 'GetFullPathNameW'),126,126,0
('GetCurrentThreadId'; 'GetFileAttributesW'),139,139,0
('GlobalAlloc'; 'GetLongPathNameW'),126,126,0
('GetLongPathNameW'; 'GlobalUnlock'),124,124,0
('GetFileAttributesW'; 'RegOpenKeyExA'),139,139,0
('GetFullPathNameW'; 'GlobalUnlock'),125,125,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),129,129,0
('GlobalSize'; 'GetFileAttributesW'),125,125,0
('RegOpenKeyExA'; 'GetFileAttributesW'),139,139,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),131,131,0
('GetCurrentThread'; 'GetFileAttributesW'),139,139,0
('RegEnumValueW'; 'GetFileAttributesW'),138,138,0
('RegCloseKey'; 'GetLongPathNameW'),129,129,0
