('GetProcAddress'; 'GetProcAddress'),234,177,57
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('SetThreadPriority';),94,60,34
('OpenProcess';),94,59,35
('ReadFile';),110,102,8
('GetFileAttributesW';),110,110,0
('GetFullPathNameW';),117,117,0
('GlobalReAlloc'; 'RegCreateKeyExW'),97,63,34
('GetFileAttributesW'; 'LocalAlloc'),102,102,0
('RegOpenKeyExA'; 'GetFullPathNameW'),114,114,0
('RegOpenKeyExA'; 'GetFileAttributesW'),109,109,0
('GetCurrentThreadId'; 'GetFileAttributesW'),110,110,0
('LocalFree'; 'GetFullPathNameW'),117,117,0
('GetFullPathNameW'; 'IsBadWritePtr'),103,103,0
('LocalFree'; 'GetFileAttributesW'),108,108,0
('GetFullPathNameW'; 'IsBadReadPtr'),104,104,0
('RegEnumKeyW'; 'RegCreateKeyExW'),99,65,34
('GetFileAttributesW'; 'LoadLibraryA'),100,100,0
('HeapAlloc'; 'GetFullPathNameW'),117,117,0
('HeapAlloc'; 'GetFileAttributesW'),110,110,0
('RegOpenKeyExW'; 'OpenProcess'),94,59,35
('GetFullPathNameW'; 'GetFullPathNameW'),95,95,0
('GetCurrentThreadId'; 'SetThreadPriority'),94,60,34
('RegOpenKeyExW'; 'GetFullPathNameW'),117,117,0
('GetFileAttributesW'; 'RegCloseKey'),102,102,0
('GetCurrentThreadId'; 'OpenProcess'),94,59,35
('GetFileAttributesW'; 'HeapFree'),110,110,0
('GetCurrentThreadId'; 'GetFullPathNameW'),117,117,0
('HeapFree'; 'OpenProcess'),94,59,35
('GetFileAttributesW'; 'GetCurrentProcessId'),101,101,0
('GetCurrentThread'; 'GetFullPathNameW'),98,98,0
('GetCurrentThread'; 'GetFileAttributesW'),104,104,0
('HeapAlloc'; 'OpenProcess'),94,59,35
('HeapFree'; 'GetFullPathNameW'),117,117,0
('GetFullPathNameW'; 'RegQueryValueExW'),112,112,0
('GlobalFree'; 'RegCreateKeyExW'),95,61,34
('HeapFree'; 'GetFileAttributesW'),110,110,0
('GetFullPathNameW'; 'HeapAlloc'),117,117,0
('GetFileAttributesW'; 'RegOpenKeyExA'),96,96,0
('GlobalLock'; 'RegCreateKeyExW'),97,63,34
('RegOpenKeyExA'; 'ReadFile'),107,100,7
('GetFullPathNameW'; 'GetCurrentThreadId'),112,112,0
('GetFileAttributesW'; 'LocalFree'),102,102,0
('GetFileAttributesW'; 'GetCurrentThread'),99,99,0
('GetFullPathNameW'; 'LocalAlloc'),114,114,0
('GetFullPathNameW'; 'GetCurrentProcessId'),102,102,0
('GetFileAttributesW'; 'RegOpenKeyExW'),100,100,0
('LocalAlloc'; 'GetFileAttributesW'),109,109,0
('GetFullPathNameW'; 'LoadLibraryA'),106,106,0
('RegCloseKey'; 'GetFullPathNameW'),117,117,0
('IsBadWritePtr'; 'GetFullPathNameW'),114,114,0
('RegCloseKey'; 'GetFileAttributesW'),110,110,0
('IsBadWritePtr'; 'GetFileAttributesW'),100,100,0
('RegQueryValueW'; 'RegCreateKeyExW'),101,67,34
('IsBadStringPtrW'; 'GetFullPathNameW'),112,112,0
('RegCreateKeyExW'; 'IsBadStringPtrW'),94,60,34
('IsBadStringPtrW'; 'GetFileAttributesW'),99,99,0
('GetFileAttributesW'; 'GetFullPathNameW'),98,98,0
('GetFileAttributesW'; 'GetFileAttributesW'),96,96,0
('GetFullPathNameW'; 'RegOpenKeyExW'),98,98,0
('GetFullPathNameW'; 'RegCloseKey'),112,112,0
('GetFullPathNameW'; 'HeapFree'),117,117,0
('IsBadReadPtr'; 'GetFullPathNameW'),114,114,0
('IsBadReadPtr'; 'GetFileAttributesW'),100,100,0
('LocalAlloc'; 'OpenProcess'),94,59,35
('GlobalUnlock'; 'RegCreateKeyExW'),97,63,34
('RegEnumValueW'; 'GetFullPathNameW'),101,101,0
('RegEnumValueW'; 'GetFileAttributesW'),101,101,0
('RegCloseKey'; 'OpenProcess'),94,59,35
('GetFullPathNameW'; 'GetFileAttributesW'),98,98,0
('LocalAlloc'; 'GetFullPathNameW'),117,117,0
('CreateProcessW'; 'RegCreateKeyExW'),94,60,34
('GetFileAttributesW'; 'RegQueryValueExW'),100,100,0
('GetCurrentProcessId'; 'GetFullPathNameW'),114,114,0
('GetFileAttributesW'; 'HeapAlloc'),110,110,0
('RegOpenKeyExW'; 'GetFileAttributesW'),109,109,0
('GetCurrentProcessId'; 'GetFileAttributesW'),105,105,0
('GetFullPathNameW'; 'RegOpenKeyExA'),102,102,0
('RegQueryValueExW'; 'GetFullPathNameW'),117,117,0
('RegQueryValueExW'; 'GetFileAttributesW'),108,108,0
('GetFileAttributesW'; 'GetCurrentThreadId'),106,106,0
('GetFullPathNameW'; 'IsBadStringPtrW'),103,103,0
('GetFullPathNameW'; 'LocalFree'),115,115,0
('GetFullPathNameW'; 'GetCurrentThread'),96,96,0
('LocalFree'; 'OpenProcess'),94,59,35
