('OpenProcess'; 'LoadLibraryA'),157,114,43
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),94,94,0
('GetFileAttributesW';),110,110,0
('GetFullPathNameW';),109,109,0
('GetLongPathNameW';),109,109,0
('GetLongPathNameW'; 'RegQueryValueExW'),109,109,0
('GetFileAttributesW'; 'RegSetValueExW'),107,107,0
('GetLongPathNameW'; 'HeapAlloc'),109,109,0
('GetLongPathNameW'; 'RegCloseKey'),109,109,0
('GetFileAttributesW'; 'LocalAlloc'),110,110,0
('RegOpenKeyExA'; 'GetFullPathNameW'),109,109,0
('RegOpenKeyExA'; 'GetFileAttributesW'),109,109,0
('GetCurrentThreadId'; 'GetFileAttributesW'),110,110,0
('GlobalReAlloc'; 'GetLongPathNameW'),107,107,0
('LocalFree'; 'GetFullPathNameW'),109,109,0
('GetFullPathNameW'; 'IsBadWritePtr'),109,109,0
('GetLongPathNameW'; 'HeapFree'),109,109,0
('LocalFree'; 'GetFileAttributesW'),110,110,0
('GetFullPathNameW'; 'IsBadReadPtr'),109,109,0
('GetCurrentThreadId'; 'GetLongPathNameW'),109,109,0
('GetCurrentThread'; 'GetLongPathNameW'),108,108,0
('GlobalLock'; 'GetFullPathNameW'),107,107,0
('GetFileAttributesW'; 'LoadLibraryA'),109,109,0
('LoadLibraryExW'; 'GetLongPathNameW'),103,103,0
('HeapAlloc'; 'GetFullPathNameW'),109,109,0
('GetLongPathNameW'; 'GetCurrentProcessId'),109,109,0
('HeapAlloc'; 'GetFileAttributesW'),110,110,0
('HeapFree'; 'GetLongPathNameW'),109,109,0
('RegEnumKeyW'; 'GetLongPathNameW'),107,107,0
('GlobalUnlock'; 'GetFullPathNameW'),107,107,0
('HeapAlloc'; 'GetLongPathNameW'),109,109,0
('GlobalUnlock'; 'GetFileAttributesW'),108,108,0
('GetFileAttributesW'; 'RegEnumValueW'),109,109,0
('GetFullPathNameW'; 'GetFullPathNameW'),108,108,0
('GetFullPathNameW'; 'RegSetValueExW'),106,106,0
('GlobalUnlock'; 'GetLongPathNameW'),108,108,0
('GetLongPathNameW'; 'RegOpenKeyExA'),109,109,0
('GetFullPathNameW'; 'GlobalUnlock'),107,107,0
('RegOpenKeyExW'; 'GetFullPathNameW'),109,109,0
('GetFileAttributesW'; 'RegCloseKey'),109,109,0
