GetCurrentThreadId, SetThreadPriority
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),97,97,0
('GetFileAttributesW';),121,121,0
('GetFullPathNameW';),119,119,0
('GetLongPathNameW';),118,118,0
('IsBadReadPtr'; 'GetFullPathNameW'),119,119,0
('GetLongPathNameW'; 'IsBadWritePtr'),118,118,0
('GetFullPathNameW'; 'IsBadWritePtr'),119,119,0
('LocalFree'; 'GetFileAttributesW'),121,121,0
('GetFileAttributesW'; 'IsBadWritePtr'),120,120,0
('GetProcAddress'; 'GetProcAddress'),94,60,34
('RegQueryValueW'; 'GetLongPathNameW'),118,118,0
('GlobalLock'; 'GetLongPathNameW'),118,118,0
('CreateProcessW'; 'GetLongPathNameW'),118,118,0
('RegQueryValueW'; 'GetFullPathNameW'),117,117,0
('RegSetValueExW'; 'GlobalReAlloc'),143,118,25
('GlobalLock'; 'GetFullPathNameW'),118,118,0
('RegSetValueExW'; 'GlobalSize'),143,118,25
('LocalAlloc'; 'GetFileAttributesW'),121,121,0
('GlobalUnlock'; 'GetFileAttributesW'),118,118,0
('RegEnumValueW'; 'GetLongPathNameW'),118,118,0
('GetLongPathNameW'; 'HeapAlloc'),118,118,0
('GetLongPathNameW'; 'IsBadReadPtr'),118,118,0
('RegOpenKeyExA'; 'ReadFile'),97,97,0
('GetFullPathNameW'; 'HeapAlloc'),119,119,0
('GetFullPathNameW'; 'IsBadReadPtr'),119,119,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),119,119,0
('LocalFree'; 'GetLongPathNameW'),118,118,0
('LocalFree'; 'GetFullPathNameW'),119,119,0
('LocalAlloc'; 'GetLongPathNameW'),118,118,0
('LocalAlloc'; 'GetFullPathNameW'),119,119,0
('RegCloseKey'; 'GetFileAttributesW'),121,121,0
('GetLongPathNameW'; 'RegOpenKeyExA'),117,117,0
('GetCurrentProcessId'; 'GetLongPathNameW'),118,118,0
('GlobalUnlock'; 'GetLongPathNameW'),118,118,0
('GlobalUnlock'; 'GetFullPathNameW'),118,118,0
('GetCurrentThreadId'; 'GetFileAttributesW'),121,121,0
