SetThreadPriority, IsBadStringPtrW
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),89,89,0
('GetFileAttributesW';),113,113,0
('GetFullPathNameW';),113,113,0
('GetLongPathNameW';),112,112,0
('IsBadReadPtr'; 'GetFullPathNameW'),113,113,0
('GetLongPathNameW'; 'IsBadWritePtr'),112,112,0
('GetFullPathNameW'; 'IsBadWritePtr'),113,113,0
('LocalFree'; 'GetFileAttributesW'),113,113,0
('GetFileAttributesW'; 'IsBadWritePtr'),113,113,0
('GetProcAddress'; 'GetProcAddress'),84,51,33
('RegQueryValueW'; 'GetLongPathNameW'),112,112,0
('GlobalLock'; 'GetLongPathNameW'),112,112,0
('CreateProcessW'; 'GetLongPathNameW'),112,112,0
('RegQueryValueW'; 'GetFullPathNameW'),111,111,0
('RegSetValueExW'; 'GlobalReAlloc'),136,112,24
('GlobalLock'; 'GetFullPathNameW'),112,112,0
('RegSetValueExW'; 'GlobalSize'),136,112,24
('LocalAlloc'; 'GetFileAttributesW'),113,113,0
('GlobalUnlock'; 'GetFileAttributesW'),112,112,0
('RegEnumValueW'; 'GetLongPathNameW'),112,112,0
('GetLongPathNameW'; 'HeapAlloc'),112,112,0
('GetLongPathNameW'; 'IsBadReadPtr'),112,112,0
('RegOpenKeyExA'; 'ReadFile'),89,89,0
('GetFullPathNameW'; 'HeapAlloc'),113,113,0
('GetFullPathNameW'; 'IsBadReadPtr'),113,113,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),113,113,0
('LocalFree'; 'GetLongPathNameW'),112,112,0
('LocalFree'; 'GetFullPathNameW'),113,113,0
('LocalAlloc'; 'GetLongPathNameW'),112,112,0
('LocalAlloc'; 'GetFullPathNameW'),113,113,0
('RegCloseKey'; 'GetFileAttributesW'),113,113,0
('GetLongPathNameW'; 'RegOpenKeyExA'),111,111,0
('GetCurrentProcessId'; 'GetLongPathNameW'),112,112,0
('GlobalUnlock'; 'GetLongPathNameW'),112,112,0
('GlobalUnlock'; 'GetFullPathNameW'),112,112,0
('GetCurrentThreadId'; 'GetFileAttributesW'),113,113,0
('GlobalAlloc'; 'GetLongPathNameW'),112,112,0
('GetLongPathNameW'; 'GlobalUnlock'),112,112,0
('GetFileAttributesW'; 'RegOpenKeyExA'),113,113,0
('GetFullPathNameW'; 'GlobalUnlock'),112,112,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),112,112,0
('GlobalSize'; 'GetFileAttributesW'),112,112,0
('RegOpenKeyExA'; 'GetFileAttributesW'),113,113,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),112,112,0
('GetCurrentThread'; 'GetFileAttributesW'),113,113,0
('RegEnumValueW'; 'GetFileAttributesW'),113,113,0
('RegCloseKey'; 'GetLongPathNameW'),112,112,0
('RegCloseKey'; 'GetFullPathNameW'),113,113,0
('RegEnumKeyW'; 'GetFileAttributesW'),112,112,0
('GetCurrentThreadId'; 'GetLongPathNameW'),112,112,0
('GetFullPathNameW'; 'LoadLibraryExW'),109,109,0
('GetCurrentThreadId'; 'GetFullPathNameW'),113,113,0
('GetFullPathNameW'; 'RegSetValueExW'),112,112,0
('GetLongPathNameW'; 'GlobalFree'),112,112,0
('GlobalSize'; 'GetLongPathNameW'),112,112,0
('RegOpenKeyExW'; 'GetFileAttributesW'),113,113,0
('RegOpenKeyExA'; 'GetLongPathNameW'),112,112,0
('GetCurrentProcessId'; 'GetFileAttributesW'),113,113,0
('GetLongPathNameW'; 'IsBadStringPtrW'),112,112,0
('GetFullPathNameW'; 'HeapFree'),113,113,0
('GetLongPathNameW'; 'RegCloseKey'),112,112,0
('GlobalSize'; 'GetFullPathNameW'),111,111,0
('RegOpenKeyExA'; 'GetFullPathNameW'),113,113,0
('GetFullPathNameW'; 'GetCurrentThread'),113,113,0
('GetFullPathNameW'; 'GlobalFree'),112,112,0
('GetCurrentThread'; 'GetLongPathNameW'),112,112,0
('GetFullPathNameW'; 'GetLongPathNameW'),111,111,0
('GetFullPathNameW'; 'IsBadStringPtrW'),113,113,0
('GetFullPathNameW'; 'RegCloseKey'),113,113,0
('GetCurrentThread'; 'GetFullPathNameW'),113,113,0
('GlobalAlloc'; 'GetFileAttributesW'),113,113,0
('RegEnumValueW'; 'GetFullPathNameW'),112,112,0
('RegSetValueExW'; 'GetEnvironmentVariableW'),138,113,25
('RegQueryValueExW'; 'GetFileAttributesW'),113,113,0
('RegEnumKeyW'; 'GetLongPathNameW'),112,112,0
('GetLongPathNameW'; 'RegQueryValueExW'),111,111,0
('RegEnumKeyW'; 'GetFullPathNameW'),111,111,0
('HeapFree'; 'GetFileAttributesW'),113,113,0
('GetFileAttributesW'; 'HeapAlloc'),113,113,0
('GetFileAttributesW'; 'IsBadReadPtr'),113,113,0
('GetFullPathNameW'; 'RegQueryValueExW'),113,113,0
('GetFullPathNameW'; 'RegOpenKeyExW'),113,113,0
('GetLongPathNameW'; 'LoadLibraryA'),111,111,0
('RegOpenKeyExW'; 'GetLongPathNameW'),112,112,0
('HeapAlloc'; 'GetFileAttributesW'),113,113,0
('GetLongPathNameW'; 'LocalFree'),112,112,0
('GetFullPathNameW'; 'LoadLibraryA'),112,112,0
('RegOpenKeyExW'; 'GetFullPathNameW'),113,113,0
('GetFileAttributesW'; 'GetEnvironmentVariableW'),113,113,0
('GetCurrentProcessId'; 'GetFullPathNameW'),113,113,0
('GetFullPathNameW'; 'LocalFree'),113,113,0
('GetFileAttributesW'; 'LoadLibraryA'),112,112,0
('GlobalAlloc'; 'GetFullPathNameW'),113,113,0
('RegSetValueExW'; 'GetFileAttributesW'),113,113,0
('IsBadStringPtrW'; 'GetFileAttributesW'),113,113,0
('IsBadWritePtr'; 'GetFileAttributesW'),113,113,0
('RegQueryValueExW'; 'GetLongPathNameW'),112,112,0
('GetLongPathNameW'; 'LocalAlloc'),112,112,0
('RegQueryValueExW'; 'GetFullPathNameW'),113,113,0
('HeapFree'; 'GetLongPathNameW'),112,112,0
('GetFullPathNameW'; 'GetCurrentThreadId'),113,113,0
('GetFileAttributesW'; 'GlobalUnlock'),112,112,0
('GetFullPathNameW'; 'LocalAlloc'),113,113,0
('HeapFree'; 'GetFullPathNameW'),113,113,0
('GetFullPathNameW'; 'GetFileAttributesW'),112,112,0
('GlobalReAlloc'; 'GetLongPathNameW'),112,112,0
('GetFileAttributesW'; 'LocalAlloc'),113,113,0
('HeapAlloc'; 'GetLongPathNameW'),112,112,0
('GetFileAttributesW'; 'GetFileAttributesW'),113,113,0
('HeapAlloc'; 'GetFullPathNameW'),113,113,0
('GetLongPathNameW'; 'RegSetValueExW'),112,112,0
('GetLongPathNameW'; 'HeapFree'),112,112,0
('RegSetValueExW'; 'GetLongPathNameW'),112,112,0
('IsBadStringPtrW'; 'GetLongPathNameW'),110,110,0
('IsBadWritePtr'; 'GetLongPathNameW'),112,112,0
('GetLongPathNameW'; 'GetCurrentThread'),112,112,0
('RegSetValueExW'; 'GetFullPathNameW'),112,112,0
('IsBadStringPtrW'; 'GetFullPathNameW'),111,111,0
('GetFileAttributesW'; 'LoadLibraryExW'),109,109,0
('GetFullPathNameW'; 'CreateProcessW'),111,111,0
('IsBadWritePtr'; 'GetFullPathNameW'),113,113,0
('GetLongPathNameW'; 'GetCurrentProcessId'),112,112,0
('GetFileAttributesW'; 'RegSetValueExW'),113,113,0
('GetFileAttributesW'; 'CreateProcessW'),112,112,0
('GetFullPathNameW'; 'GetCurrentProcessId'),113,113,0
('GetFileAttributesW'; 'HeapFree'),113,113,0
('GlobalFree'; 'GetFileAttributesW'),113,113,0
('GetFullPathNameW'; 'GetFullPathNameW'),112,112,0
('GetFileAttributesW'; 'GetCurrentThread'),113,113,0
('GetFileAttributesW'; 'GlobalFree'),113,113,0
('GetFileAttributesW'; 'GetLongPathNameW'),112,112,0
('GetFileAttributesW'; 'GetCurrentProcessId'),113,113,0
('GetFileAttributesW'; 'IsBadStringPtrW'),113,113,0
('GetFileAttributesW'; 'RegCloseKey'),113,113,0
('GetFileAttributesW'; 'GetFullPathNameW'),112,112,0
('GetLongPathNameW'; 'RegOpenKeyExW'),112,112,0
('GlobalReAlloc'; 'GetFileAttributesW'),112,112,0
('LoadLibraryExW'; 'GetLongPathNameW'),107,107,0
('GetFileAttributesW'; 'RegQueryValueExW'),113,113,0
('IsBadReadPtr'; 'GetFileAttributesW'),113,113,0
('GetFileAttributesW'; 'RegOpenKeyExW'),113,113,0
('GlobalFree'; 'GetLongPathNameW'),112,112,0
('RegSetValueExW'; 'RegEnumValueW'),141,113,28
('GlobalFree'; 'GetFullPathNameW'),112,112,0
('GetLongPathNameW'; 'GetCurrentThreadId'),112,112,0
('GetFileAttributesW'; 'LocalFree'),113,113,0
('GetFullPathNameW'; 'RegOpenKeyExA'),112,112,0
('RegQueryValueW'; 'GetFileAttributesW'),112,112,0
('GlobalLock'; 'GetFileAttributesW'),112,112,0
('LoadLibraryA'; 'GlobalFree'),99,58,41
('GetFileAttributesW'; 'GetCurrentThreadId'),113,113,0
('GlobalReAlloc'; 'GetFullPathNameW'),112,112,0
('GetFileAttributesW'; 'RegEnumValueW'),113,113,0
('IsBadReadPtr'; 'GetLongPathNameW'),112,112,0
