('SetThreadPriority'; 'RegQueryValueExW'),162,117,45
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),95,95,0
('GetFileAttributesW';),116,116,0
('GetFullPathNameW';),115,115,0
('GetLongPathNameW';),114,114,0
('GetLongPathNameW'; 'RegQueryValueExW'),114,114,0
('GetFileAttributesW'; 'RegSetValueExW'),115,115,0
('GetLongPathNameW'; 'HeapAlloc'),114,114,0
('GetLongPathNameW'; 'RegCloseKey'),114,114,0
('GetFileAttributesW'; 'LocalAlloc'),115,115,0
('RegOpenKeyExA'; 'GetFullPathNameW'),115,115,0
('RegOpenKeyExA'; 'GetFileAttributesW'),116,116,0
('GetCurrentThreadId'; 'GetFileAttributesW'),116,116,0
('GlobalReAlloc'; 'GetLongPathNameW'),114,114,0
('LocalFree'; 'GetFullPathNameW'),115,115,0
('GetFullPathNameW'; 'IsBadWritePtr'),115,115,0
('GetLongPathNameW'; 'HeapFree'),114,114,0
('LocalFree'; 'GetFileAttributesW'),116,116,0
('GetFullPathNameW'; 'IsBadReadPtr'),115,115,0
('GetCurrentThreadId'; 'GetLongPathNameW'),114,114,0
('GetCurrentThread'; 'GetLongPathNameW'),114,114,0
('GlobalLock'; 'GetFullPathNameW'),114,114,0
('GetFileAttributesW'; 'LoadLibraryA'),115,115,0
('LoadLibraryExW'; 'GetLongPathNameW'),108,108,0
('HeapAlloc'; 'GetFullPathNameW'),115,115,0
('GetLongPathNameW'; 'GetCurrentProcessId'),114,114,0
('HeapAlloc'; 'GetFileAttributesW'),116,116,0
('HeapFree'; 'GetLongPathNameW'),114,114,0
('RegEnumKeyW'; 'GetLongPathNameW'),114,114,0
('GlobalUnlock'; 'GetFullPathNameW'),114,114,0
('HeapAlloc'; 'GetLongPathNameW'),114,114,0
('GlobalUnlock'; 'GetFileAttributesW'),114,114,0
('GetFileAttributesW'; 'RegEnumValueW'),115,115,0
('GetFullPathNameW'; 'GetFullPathNameW'),114,114,0
('GetFullPathNameW'; 'RegSetValueExW'),114,114,0
('GlobalUnlock'; 'GetLongPathNameW'),114,114,0
('GetLongPathNameW'; 'RegOpenKeyExA'),114,114,0
('GetFullPathNameW'; 'GlobalUnlock'),114,114,0
('RegOpenKeyExW'; 'GetFullPathNameW'),115,115,0
('GetFileAttributesW'; 'RegCloseKey'),116,116,0
('GetLongPathNameW'; 'IsBadStringPtrW'),114,114,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),114,114,0
('CreateProcessW'; 'GetLongPathNameW'),114,114,0
('GetLongPathNameW'; 'GetCurrentThread'),114,114,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),115,115,0
('GetFileAttributesW'; 'HeapFree'),116,116,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),114,114,0
('GlobalReAlloc'; 'GetFullPathNameW'),114,114,0
('GetLongPathNameW'; 'GlobalFree'),114,114,0
('GetLongPathNameW'; 'RegOpenKeyExW'),114,114,0
('GlobalReAlloc'; 'GetFileAttributesW'),114,114,0
('GetCurrentThreadId'; 'GetFullPathNameW'),115,115,0
('LoadLibraryA'; 'GlobalFree'),105,63,42
('GetFileAttributesW'; 'GetCurrentProcessId'),115,115,0
('GetCurrentThread'; 'GetFullPathNameW'),115,115,0
('GetFullPathNameW'; 'CreateProcessW'),113,113,0
('GetCurrentThread'; 'GetFileAttributesW'),116,116,0
('GetFileAttributesW'; 'LoadLibraryExW'),110,110,0
('GetFileAttributesW'; 'GetLongPathNameW'),114,114,0
('HeapFree'; 'GetFullPathNameW'),115,115,0
('GetFullPathNameW'; 'RegQueryValueExW'),115,115,0
('RegEnumKeyW'; 'GetFullPathNameW'),113,113,0
('HeapFree'; 'GetFileAttributesW'),116,116,0
('GetFullPathNameW'; 'HeapAlloc'),115,115,0
('RegEnumKeyW'; 'GetFileAttributesW'),114,114,0
('GetFileAttributesW'; 'RegOpenKeyExA'),116,116,0
('RegOpenKeyExA'; 'ReadFile'),95,95,0
('RegSetValueExW'; 'GetFileAttributesW'),115,115,0
('GetFullPathNameW'; 'GetCurrentThreadId'),115,115,0
('GetFileAttributesW'; 'IsBadStringPtrW'),115,115,0
('GetFileAttributesW'; 'LocalFree'),115,115,0
('RegSetValueExW'; 'GetLongPathNameW'),114,114,0
('GetProcAddress'; 'GetProcAddress'),91,57,34
('GetFileAttributesW'; 'GetCurrentThread'),115,115,0
('IsBadReadPtr'; 'GetLongPathNameW'),114,114,0
('GetFullPathNameW'; 'LocalAlloc'),115,115,0
('GetFullPathNameW'; 'GetCurrentProcessId'),115,115,0
('GetFileAttributesW'; 'GlobalFree'),115,115,0
('GetFileAttributesW'; 'IsBadWritePtr'),115,115,0
('GetFileAttributesW'; 'RegOpenKeyExW'),115,115,0
('RegEnumValueW'; 'GetLongPathNameW'),114,114,0
('GetLongPathNameW'; 'LocalFree'),114,114,0
('GetFileAttributesW'; 'IsBadReadPtr'),115,115,0
('LocalAlloc'; 'GetFileAttributesW'),116,116,0
('GetFullPathNameW'; 'LoadLibraryA'),115,115,0
('LocalAlloc'; 'GetLongPathNameW'),114,114,0
('RegCloseKey'; 'GetFullPathNameW'),115,115,0
('IsBadWritePtr'; 'GetFullPathNameW'),115,115,0
('RegCloseKey'; 'GetFileAttributesW'),116,116,0
('IsBadWritePtr'; 'GetFileAttributesW'),115,115,0
('GetLongPathNameW'; 'IsBadWritePtr'),114,114,0
('IsBadStringPtrW'; 'GetFullPathNameW'),113,113,0
('GetLongPathNameW'; 'IsBadReadPtr'),114,114,0
('RegCloseKey'; 'GetLongPathNameW'),114,114,0
('IsBadWritePtr'; 'GetLongPathNameW'),114,114,0
('IsBadStringPtrW'; 'GetFileAttributesW'),115,115,0
('GetFileAttributesW'; 'GetFullPathNameW'),114,114,0
('RegQueryValueW'; 'GetLongPathNameW'),114,114,0
