('RegCreateKeyExW'; 'IsBadStringPtrW'),176,131,45
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),98,98,0
('GetFileAttributesW';),128,128,0
('GetFullPathNameW';),130,130,0
('GetLongPathNameW';),126,126,0
('GetLongPathNameW'; 'RegQueryValueExW'),125,125,0
('GetFileAttributesW'; 'RegSetValueExW'),128,128,0
('GetLongPathNameW'; 'HeapAlloc'),126,126,0
('GetLongPathNameW'; 'RegCloseKey'),126,126,0
('GetFileAttributesW'; 'LocalAlloc'),128,128,0
('RegOpenKeyExA'; 'GetFullPathNameW'),130,130,0
('RegOpenKeyExA'; 'GetFileAttributesW'),128,128,0
('GetCurrentThreadId'; 'GetFileAttributesW'),128,128,0
('GlobalReAlloc'; 'GetLongPathNameW'),124,124,0
('LocalFree'; 'GetFullPathNameW'),130,130,0
('GetFullPathNameW'; 'IsBadWritePtr'),130,130,0
('GetLongPathNameW'; 'HeapFree'),126,126,0
('LocalFree'; 'GetFileAttributesW'),128,128,0
('GetFullPathNameW'; 'IsBadReadPtr'),130,130,0
('GetCurrentThreadId'; 'GetLongPathNameW'),126,126,0
('GetCurrentThread'; 'GetLongPathNameW'),126,126,0
('GlobalLock'; 'GetFullPathNameW'),126,126,0
('GetFileAttributesW'; 'LoadLibraryA'),126,126,0
('LoadLibraryExW'; 'GetLongPathNameW'),121,121,0
('HeapAlloc'; 'GetFullPathNameW'),130,130,0
('GetLongPathNameW'; 'GetCurrentProcessId'),125,125,0
('HeapAlloc'; 'GetFileAttributesW'),128,128,0
('HeapFree'; 'GetLongPathNameW'),126,126,0
('RegEnumKeyW'; 'GetLongPathNameW'),126,126,0
('GlobalUnlock'; 'GetFullPathNameW'),126,126,0
('HeapAlloc'; 'GetLongPathNameW'),126,126,0
('GlobalUnlock'; 'GetFileAttributesW'),124,124,0
('GetFileAttributesW'; 'RegEnumValueW'),127,127,0
('GetFullPathNameW'; 'GetFullPathNameW'),126,126,0
('GetFullPathNameW'; 'RegSetValueExW'),127,127,0
('GlobalUnlock'; 'GetLongPathNameW'),124,124,0
('GetLongPathNameW'; 'RegOpenKeyExA'),125,125,0
('GetFullPathNameW'; 'GlobalUnlock'),124,124,0
('RegOpenKeyExW'; 'GetFullPathNameW'),130,130,0
('GetFileAttributesW'; 'RegCloseKey'),128,128,0
('GetLongPathNameW'; 'IsBadStringPtrW'),126,126,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),128,128,0
('CreateProcessW'; 'GetLongPathNameW'),125,125,0
('GetLongPathNameW'; 'GetCurrentThread'),126,126,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),127,127,0
('GetFileAttributesW'; 'HeapFree'),128,128,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),126,126,0
('GlobalReAlloc'; 'GetFullPathNameW'),126,126,0
('GetLongPathNameW'; 'GlobalFree'),124,124,0
('GetLongPathNameW'; 'RegOpenKeyExW'),126,126,0
('GlobalReAlloc'; 'GetFileAttributesW'),124,124,0
('GetCurrentThreadId'; 'GetFullPathNameW'),130,130,0
('LoadLibraryA'; 'GlobalFree'),106,64,42
('GetFileAttributesW'; 'GetCurrentProcessId'),127,127,0
('GetCurrentThread'; 'GetFullPathNameW'),129,129,0
('GetFullPathNameW'; 'CreateProcessW'),125,125,0
('GetCurrentThread'; 'GetFileAttributesW'),128,128,0
('GetFileAttributesW'; 'LoadLibraryExW'),123,123,0
('GetFileAttributesW'; 'GetLongPathNameW'),126,126,0
('HeapFree'; 'GetFullPathNameW'),130,130,0
('GetFullPathNameW'; 'RegQueryValueExW'),130,130,0
('RegEnumKeyW'; 'GetFullPathNameW'),127,127,0
('HeapFree'; 'GetFileAttributesW'),128,128,0
('GetFullPathNameW'; 'HeapAlloc'),130,130,0
('RegEnumKeyW'; 'GetFileAttributesW'),126,126,0
('GetFileAttributesW'; 'RegOpenKeyExA'),128,128,0
('RegOpenKeyExA'; 'ReadFile'),98,98,0
('RegSetValueExW'; 'GetFileAttributesW'),127,127,0
('GetFullPathNameW'; 'GetCurrentThreadId'),130,130,0
('GetFileAttributesW'; 'IsBadStringPtrW'),128,128,0
('GetFileAttributesW'; 'LocalFree'),128,128,0
('RegSetValueExW'; 'GetLongPathNameW'),126,126,0
('GetProcAddress'; 'GetProcAddress'),94,60,34
('GetFileAttributesW'; 'GetCurrentThread'),127,127,0
('IsBadReadPtr'; 'GetLongPathNameW'),126,126,0
('GetFullPathNameW'; 'LocalAlloc'),130,130,0
('GetFullPathNameW'; 'GetCurrentProcessId'),128,128,0
('GetFileAttributesW'; 'GlobalFree'),126,126,0
('GetFileAttributesW'; 'IsBadWritePtr'),128,128,0
('GetFileAttributesW'; 'RegOpenKeyExW'),127,127,0
('RegEnumValueW'; 'GetLongPathNameW'),126,126,0
('GetLongPathNameW'; 'LocalFree'),126,126,0
('GetFileAttributesW'; 'IsBadReadPtr'),128,128,0
('LocalAlloc'; 'GetFileAttributesW'),128,128,0
('GetFullPathNameW'; 'LoadLibraryA'),128,128,0
('LocalAlloc'; 'GetLongPathNameW'),126,126,0
('RegCloseKey'; 'GetFullPathNameW'),130,130,0
('IsBadWritePtr'; 'GetFullPathNameW'),130,130,0
('RegCloseKey'; 'GetFileAttributesW'),128,128,0
('IsBadWritePtr'; 'GetFileAttributesW'),128,128,0
('RegSetValueExW'; 'GlobalReAlloc'),149,124,25
('GetLongPathNameW'; 'IsBadWritePtr'),126,126,0
('IsBadStringPtrW'; 'GetFullPathNameW'),128,128,0
('GetLongPathNameW'; 'IsBadReadPtr'),126,126,0
('RegCloseKey'; 'GetLongPathNameW'),126,126,0
('IsBadWritePtr'; 'GetLongPathNameW'),126,126,0
('IsBadStringPtrW'; 'GetFileAttributesW'),128,128,0
('GetFileAttributesW'; 'GetFullPathNameW'),126,126,0
