('ReadFile';),160,152,8
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('GetFileAttributesW';),118,118,0
('GetFullPathNameW';),119,119,0
('GetFileAttributesW'; 'LocalAlloc'),117,117,0
('RegOpenKeyExA'; 'GetFullPathNameW'),118,118,0
('GetCurrentThread'; 'RegCreateKeyExW'),115,115,0
('RegOpenKeyExA'; 'GetFileAttributesW'),118,118,0
('GetCurrentThreadId'; 'GetFileAttributesW'),118,118,0
('LocalFree'; 'GetFullPathNameW'),119,119,0
('GetFullPathNameW'; 'IsBadWritePtr'),115,115,0
('LocalFree'; 'GetFileAttributesW'),117,117,0
('GetFullPathNameW'; 'IsBadReadPtr'),115,115,0
('HeapFree'; 'RegCreateKeyExW'),115,115,0
('GetFileAttributesW'; 'LoadLibraryA'),116,116,0
('RegCreateKeyExW'; 'HeapAlloc'),115,115,0
('HeapAlloc'; 'GetFullPathNameW'),119,119,0
('HeapAlloc'; 'GetFileAttributesW'),118,118,0
('RegCreateKeyExW'; 'LocalAlloc'),115,115,0
('RegOpenKeyExW'; 'GetFullPathNameW'),119,119,0
('LocalAlloc'; 'RegCreateKeyExW'),115,115,0
('GetFileAttributesW'; 'RegCloseKey'),117,117,0
('GetFileAttributesW'; 'HeapFree'),118,118,0
('GetCurrentThreadId'; 'GetFullPathNameW'),119,119,0
('GetCurrentThread'; 'GetFileAttributesW'),115,115,0
('HeapFree'; 'GetFullPathNameW'),119,119,0
('GetFullPathNameW'; 'RegQueryValueExW'),117,117,0
('HeapFree'; 'GetFileAttributesW'),118,118,0
('GetFullPathNameW'; 'HeapAlloc'),119,119,0
('GetFileAttributesW'; 'RegOpenKeyExA'),115,115,0
('GetFullPathNameW'; 'GetCurrentThreadId'),116,116,0
('RegCreateKeyExW'; 'HeapFree'),115,115,0
('GetFileAttributesW'; 'LocalFree'),117,117,0
('GetFullPathNameW'; 'LocalAlloc'),117,117,0
('GetFileAttributesW'; 'RegOpenKeyExW'),116,116,0
('LocalAlloc'; 'GetFileAttributesW'),117,117,0
('GetFullPathNameW'; 'LoadLibraryA'),115,115,0
('RegCloseKey'; 'GetFullPathNameW'),119,119,0
('IsBadWritePtr'; 'GetFullPathNameW'),118,118,0
('RegCloseKey'; 'GetFileAttributesW'),118,118,0
('IsBadStringPtrW'; 'GetFullPathNameW'),116,116,0
('RegCreateKeyExW'; 'LocalFree'),115,115,0
('GetCurrentThreadId'; 'RegCreateKeyExW'),115,115,0
('LocalFree'; 'RegCreateKeyExW'),115,115,0
('GetFullPathNameW'; 'RegCloseKey'),117,117,0
('GetFullPathNameW'; 'HeapFree'),119,119,0
('IsBadReadPtr'; 'GetFullPathNameW'),118,118,0
('HeapAlloc'; 'RegCreateKeyExW'),115,115,0
('RegCreateKeyExW'; 'GetCurrentThreadId'),115,115,0
('LocalAlloc'; 'GetFullPathNameW'),119,119,0
('GetFileAttributesW'; 'RegQueryValueExW'),116,116,0
('GetCurrentProcessId'; 'GetFullPathNameW'),119,119,0
('GetFileAttributesW'; 'HeapAlloc'),118,118,0
('RegOpenKeyExW'; 'GetFileAttributesW'),117,117,0
('GetCurrentProcessId'; 'GetFileAttributesW'),117,117,0
('GetFullPathNameW'; 'RegOpenKeyExA'),115,115,0
('RegQueryValueExW'; 'GetFullPathNameW'),119,119,0
('RegQueryValueExW'; 'GetFileAttributesW'),116,116,0
('GetFileAttributesW'; 'GetCurrentThreadId'),116,116,0
('GetFullPathNameW'; 'IsBadStringPtrW'),115,115,0
('GetFullPathNameW'; 'LocalFree'),117,117,0
