GetProcAddress, LoadLibraryW
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),80,73,7
('GetFullPathNameW';),69,69,0
('IsBadReadPtr'; 'GetFullPathNameW'),66,66,0
('IsBadReadPtr'; 'RegCreateKeyExW'),70,43,27
('GlobalUnlock'; 'GetProcAddress'),67,40,27
('RegOpenKeyExA'; 'ReadFile'),78,71,7
('RegCreateKeyExW'; 'IsBadWritePtr'),65,38,27
('GetFullPathNameW'; 'HeapAlloc'),69,69,0
('LocalFree'; 'GetFullPathNameW'),69,69,0
('LocalFree'; 'RegCreateKeyExW'),72,45,27
('LocalAlloc'; 'GetFullPathNameW'),69,69,0
('LocalAlloc'; 'RegCreateKeyExW'),72,45,27
('RegCreateKeyExW'; 'HeapAlloc'),72,45,27
('RegCreateKeyExW'; 'IsBadReadPtr'),64,37,27
('GlobalAlloc'; 'RegCreateKeyExW'),63,36,27
('GetEnvironmentVariableW'; 'RegCreateKeyExW'),69,42,27
('RegCloseKey'; 'GetFullPathNameW'),69,69,0
('GetCurrentThreadId'; 'GetFullPathNameW'),69,69,0
('GetCurrentThreadId'; 'RegCreateKeyExW'),72,45,27
('GetFullPathNameW'; 'HeapFree'),69,69,0
('RegOpenKeyExA'; 'GetFullPathNameW'),66,66,0
('GetFullPathNameW'; 'RegCloseKey'),64,64,0
('GetCurrentThread'; 'RegCreateKeyExW'),72,45,27
('GetFullPathNameW'; 'RegQueryValueExW'),64,64,0
('RegCreateKeyExW'; 'RegSetValueExW'),67,40,27
('RegCreateKeyExW'; 'HeapFree'),72,45,27
('RegOpenKeyExW'; 'GetFullPathNameW'),69,69,0
('GetCurrentProcessId'; 'GetFullPathNameW'),66,66,0
('RegCreateKeyExW'; 'GetCurrentThread'),69,42,27
('GetFullPathNameW'; 'LocalFree'),67,67,0
('RegQueryValueExW'; 'GetFullPathNameW'),69,69,0
('RegEnumKeyW'; 'GetProcAddress'),65,38,27
('GetFullPathNameW'; 'GetCurrentThreadId'),64,64,0
('GetFullPathNameW'; 'LocalAlloc'),66,66,0
('HeapFree'; 'GetFullPathNameW'),69,69,0
('HeapFree'; 'RegCreateKeyExW'),72,45,27
('HeapAlloc'; 'GetFullPathNameW'),69,69,0
('RegCreateKeyExW'; 'LocalFree'),72,45,27
('HeapAlloc'; 'RegCreateKeyExW'),72,45,27
('IsBadStringPtrW'; 'GetFullPathNameW'),64,64,0
('IsBadWritePtr'; 'GetFullPathNameW'),66,66,0
('RegCreateKeyExW'; 'GetCurrentThreadId'),72,45,27
('RegCreateKeyExW'; 'LocalAlloc'),72,45,27
('IsBadStringPtrW'; 'RegCreateKeyExW'),69,42,27
('RegSetValueExW'; 'RegCreateKeyExW'),69,42,27
('IsBadWritePtr'; 'RegCreateKeyExW'),70,43,27
('RegQueryValueW'; 'GetProcAddress'),66,37,29
('GlobalLock'; 'GetProcAddress'),69,42,27
('LoadLibraryA'; 'GlobalFree'),70,44,26
