('RegCreateKeyExW'; 'IsBadReadPtr'),187,142,45
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),107,107,0
('GetFileAttributesW';),139,139,0
('GetFullPathNameW';),139,139,0
('GetLongPathNameW';),134,134,0
('GetLongPathNameW'; 'RegQueryValueExW'),133,133,0
('GetFileAttributesW'; 'RegSetValueExW'),139,139,0
('GetLongPathNameW'; 'HeapAlloc'),134,134,0
('GetLongPathNameW'; 'RegCloseKey'),134,134,0
('GetFileAttributesW'; 'LocalAlloc'),139,139,0
('RegOpenKeyExA'; 'GetFullPathNameW'),138,138,0
('RegOpenKeyExA'; 'GetFileAttributesW'),139,139,0
('GetCurrentThreadId'; 'GetFileAttributesW'),139,139,0
('GlobalReAlloc'; 'GetLongPathNameW'),131,131,0
('LocalFree'; 'GetFullPathNameW'),139,139,0
('GetFullPathNameW'; 'IsBadWritePtr'),138,138,0
('GetLongPathNameW'; 'HeapFree'),134,134,0
('LocalFree'; 'GetFileAttributesW'),139,139,0
('GetFullPathNameW'; 'IsBadReadPtr'),138,138,0
('GetCurrentThreadId'; 'GetLongPathNameW'),134,134,0
('GetCurrentThread'; 'GetLongPathNameW'),134,134,0
('GlobalLock'; 'GetFullPathNameW'),133,133,0
('GetFileAttributesW'; 'LoadLibraryA'),137,137,0
('LoadLibraryExW'; 'GetLongPathNameW'),128,128,0
('HeapAlloc'; 'GetFullPathNameW'),139,139,0
('GetLongPathNameW'; 'GetCurrentProcessId'),132,132,0
('HeapAlloc'; 'GetFileAttributesW'),139,139,0
('HeapFree'; 'GetLongPathNameW'),134,134,0
('RegEnumKeyW'; 'GetLongPathNameW'),133,133,0
('GlobalUnlock'; 'GetFullPathNameW'),133,133,0
('HeapAlloc'; 'GetLongPathNameW'),134,134,0
('GlobalUnlock'; 'GetFileAttributesW'),132,132,0
('GetFileAttributesW'; 'RegEnumValueW'),137,137,0
('GetFullPathNameW'; 'GetFullPathNameW'),133,133,0
('GetFullPathNameW'; 'RegSetValueExW'),135,135,0
('GlobalUnlock'; 'GetLongPathNameW'),131,131,0
('GetLongPathNameW'; 'RegOpenKeyExA'),132,132,0
('GetFullPathNameW'; 'GlobalUnlock'),131,131,0
('RegOpenKeyExW'; 'GetFullPathNameW'),139,139,0
('GetFileAttributesW'; 'RegCloseKey'),139,139,0
('GetLongPathNameW'; 'IsBadStringPtrW'),133,133,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),136,136,0
('CreateProcessW'; 'GetLongPathNameW'),132,132,0
('GetLongPathNameW'; 'GetCurrentThread'),133,133,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),137,137,0
('GetFileAttributesW'; 'HeapFree'),139,139,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),134,134,0
('GlobalReAlloc'; 'GetFullPathNameW'),133,133,0
('GetLongPathNameW'; 'GlobalFree'),131,131,0
('GetLongPathNameW'; 'RegOpenKeyExW'),134,134,0
('GlobalReAlloc'; 'GetFileAttributesW'),131,131,0
('GetCurrentThreadId'; 'GetFullPathNameW'),139,139,0
('LoadLibraryA'; 'GlobalFree'),115,73,42
('GetFileAttributesW'; 'GetCurrentProcessId'),137,137,0
('GetCurrentThread'; 'GetFullPathNameW'),137,137,0
('GetFullPathNameW'; 'CreateProcessW'),132,132,0
('GetCurrentThread'; 'GetFileAttributesW'),139,139,0
('GetFileAttributesW'; 'LoadLibraryExW'),132,132,0
('GetFileAttributesW'; 'GetLongPathNameW'),134,134,0
('HeapFree'; 'GetFullPathNameW'),139,139,0
('GetFullPathNameW'; 'RegQueryValueExW'),138,138,0
('RegEnumKeyW'; 'GetFullPathNameW'),134,134,0
('HeapFree'; 'GetFileAttributesW'),139,139,0
('GetFullPathNameW'; 'HeapAlloc'),139,139,0
('RegEnumKeyW'; 'GetFileAttributesW'),134,134,0
('GetFileAttributesW'; 'RegOpenKeyExA'),139,139,0
('RegOpenKeyExA'; 'ReadFile'),107,107,0
