('SetThreadPriority'; 'SetThreadPriority'),157,113,44
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),89,89,0
('GetFileAttributesW';),112,112,0
('GetFullPathNameW';),111,111,0
('GetLongPathNameW';),112,112,0
('GetLongPathNameW'; 'RegQueryValueExW'),111,111,0
('GetFileAttributesW'; 'RegSetValueExW'),112,112,0
('GetLongPathNameW'; 'HeapAlloc'),112,112,0
('GetLongPathNameW'; 'RegCloseKey'),112,112,0
('GetFileAttributesW'; 'LocalAlloc'),112,112,0
('RegOpenKeyExA'; 'GetFullPathNameW'),111,111,0
('RegOpenKeyExA'; 'GetFileAttributesW'),112,112,0
('GetCurrentThreadId'; 'GetFileAttributesW'),112,112,0
('GlobalReAlloc'; 'GetLongPathNameW'),112,112,0
('LocalFree'; 'GetFullPathNameW'),111,111,0
('GetFullPathNameW'; 'IsBadWritePtr'),111,111,0
('GetLongPathNameW'; 'HeapFree'),112,112,0
('LocalFree'; 'GetFileAttributesW'),112,112,0
('GetFullPathNameW'; 'IsBadReadPtr'),111,111,0
('GetCurrentThreadId'; 'GetLongPathNameW'),112,112,0
('GetCurrentThread'; 'GetLongPathNameW'),112,112,0
('GlobalLock'; 'GetFullPathNameW'),111,111,0
('GetFileAttributesW'; 'LoadLibraryA'),111,111,0
('LoadLibraryExW'; 'GetLongPathNameW'),107,107,0
('HeapAlloc'; 'GetFullPathNameW'),111,111,0
('GetLongPathNameW'; 'GetCurrentProcessId'),112,112,0
('HeapAlloc'; 'GetFileAttributesW'),112,112,0
('HeapFree'; 'GetLongPathNameW'),112,112,0
('RegEnumKeyW'; 'GetLongPathNameW'),112,112,0
('GlobalUnlock'; 'GetFullPathNameW'),111,111,0
('HeapAlloc'; 'GetLongPathNameW'),112,112,0
('GlobalUnlock'; 'GetFileAttributesW'),112,112,0
('GetFileAttributesW'; 'RegEnumValueW'),112,112,0
('GetFullPathNameW'; 'GetFullPathNameW'),111,111,0
('GetFullPathNameW'; 'RegSetValueExW'),111,111,0
('GlobalUnlock'; 'GetLongPathNameW'),112,112,0
('GetLongPathNameW'; 'RegOpenKeyExA'),111,111,0
('GetFullPathNameW'; 'GlobalUnlock'),111,111,0
('RegOpenKeyExW'; 'GetFullPathNameW'),111,111,0
('GetFileAttributesW'; 'RegCloseKey'),112,112,0
('GetLongPathNameW'; 'IsBadStringPtrW'),112,112,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),111,111,0
('CreateProcessW'; 'GetLongPathNameW'),112,112,0
('GetLongPathNameW'; 'GetCurrentThread'),112,112,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),112,112,0
('GetFileAttributesW'; 'HeapFree'),112,112,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),112,112,0
('GlobalReAlloc'; 'GetFullPathNameW'),111,111,0
('GetLongPathNameW'; 'GlobalFree'),112,112,0
('GetLongPathNameW'; 'RegOpenKeyExW'),112,112,0
('GlobalReAlloc'; 'GetFileAttributesW'),112,112,0
('GetCurrentThreadId'; 'GetFullPathNameW'),111,111,0
('LoadLibraryA'; 'GlobalFree'),97,56,41
('GetFileAttributesW'; 'GetCurrentProcessId'),112,112,0
('GetCurrentThread'; 'GetFullPathNameW'),111,111,0
('GetFullPathNameW'; 'CreateProcessW'),111,111,0
('GetCurrentThread'; 'GetFileAttributesW'),112,112,0
('GetFileAttributesW'; 'LoadLibraryExW'),108,108,0
('GetFileAttributesW'; 'GetLongPathNameW'),112,112,0
('HeapFree'; 'GetFullPathNameW'),111,111,0
('GetFullPathNameW'; 'RegQueryValueExW'),111,111,0
('RegEnumKeyW'; 'GetFullPathNameW'),111,111,0
('HeapFree'; 'GetFileAttributesW'),112,112,0
