('RegCreateKeyExW'; 'GetCurrentThreadId'),192,147,45
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),115,115,0
('GetFileAttributesW';),143,143,0
('GetFullPathNameW';),140,140,0
('GetLongPathNameW';),133,133,0
('GetLongPathNameW'; 'RegQueryValueExW'),133,133,0
('GetFileAttributesW'; 'RegSetValueExW'),143,143,0
('GetLongPathNameW'; 'HeapAlloc'),133,133,0
('GetLongPathNameW'; 'RegCloseKey'),133,133,0
('GetFileAttributesW'; 'LocalAlloc'),143,143,0
('RegOpenKeyExA'; 'GetFullPathNameW'),139,139,0
('RegOpenKeyExA'; 'GetFileAttributesW'),143,143,0
('GetCurrentThreadId'; 'GetFileAttributesW'),143,143,0
('GlobalReAlloc'; 'GetLongPathNameW'),129,129,0
('LocalFree'; 'GetFullPathNameW'),140,140,0
('GetFullPathNameW'; 'IsBadWritePtr'),137,137,0
('GetLongPathNameW'; 'HeapFree'),133,133,0
('LocalFree'; 'GetFileAttributesW'),143,143,0
('GetFullPathNameW'; 'IsBadReadPtr'),137,137,0
('GetCurrentThreadId'; 'GetLongPathNameW'),133,133,0
('GetCurrentThread'; 'GetLongPathNameW'),133,133,0
('GlobalLock'; 'GetFullPathNameW'),131,131,0
('GetFileAttributesW'; 'LoadLibraryA'),142,142,0
('LoadLibraryExW'; 'GetLongPathNameW'),127,127,0
('HeapAlloc'; 'GetFullPathNameW'),140,140,0
('GetLongPathNameW'; 'GetCurrentProcessId'),131,131,0
('HeapAlloc'; 'GetFileAttributesW'),143,143,0
('HeapFree'; 'GetLongPathNameW'),133,133,0
('RegEnumKeyW'; 'GetLongPathNameW'),132,132,0
('GlobalUnlock'; 'GetFullPathNameW'),131,131,0
('HeapAlloc'; 'GetLongPathNameW'),133,133,0
('GlobalUnlock'; 'GetFileAttributesW'),130,130,0
('GetFileAttributesW'; 'RegEnumValueW'),139,139,0
('GetFullPathNameW'; 'GetFullPathNameW'),132,132,0
('GetFullPathNameW'; 'RegSetValueExW'),136,136,0
('GlobalUnlock'; 'GetLongPathNameW'),129,129,0
('GetLongPathNameW'; 'RegOpenKeyExA'),132,132,0
('GetFullPathNameW'; 'GlobalUnlock'),130,130,0
('RegOpenKeyExW'; 'GetFullPathNameW'),140,140,0
('GetFileAttributesW'; 'RegCloseKey'),143,143,0
('GetLongPathNameW'; 'IsBadStringPtrW'),130,130,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),135,135,0
('CreateProcessW'; 'GetLongPathNameW'),129,129,0
('GetLongPathNameW'; 'GetCurrentThread'),132,132,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),139,139,0
('GetFileAttributesW'; 'HeapFree'),143,143,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),133,133,0
('GlobalReAlloc'; 'GetFullPathNameW'),131,131,0
('GetLongPathNameW'; 'GlobalFree'),128,128,0
('GetLongPathNameW'; 'RegOpenKeyExW'),133,133,0
('GlobalReAlloc'; 'GetFileAttributesW'),129,129,0
('GetCurrentThreadId'; 'GetFullPathNameW'),140,140,0
('LoadLibraryA'; 'GlobalFree'),120,78,42
('GetFileAttributesW'; 'GetCurrentProcessId'),139,139,0
('GetCurrentThread'; 'GetFullPathNameW'),136,136,0
('GetFullPathNameW'; 'CreateProcessW'),131,131,0
('GetCurrentThread'; 'GetFileAttributesW'),143,143,0
('GetFileAttributesW'; 'LoadLibraryExW'),132,132,0
('GetFileAttributesW'; 'GetLongPathNameW'),133,133,0
('HeapFree'; 'GetFullPathNameW'),140,140,0
('GetFullPathNameW'; 'RegQueryValueExW'),139,139,0
('RegEnumKeyW'; 'GetFullPathNameW'),133,133,0
('HeapFree'; 'GetFileAttributesW'),143,143,0
('GetFullPathNameW'; 'HeapAlloc'),140,140,0
('RegEnumKeyW'; 'GetFileAttributesW'),134,134,0
('GetFileAttributesW'; 'RegOpenKeyExA'),143,143,0
('RegOpenKeyExA'; 'ReadFile'),115,115,0
('RegSetValueExW'; 'GetFileAttributesW'),141,141,0
('GetFullPathNameW'; 'GetCurrentThreadId'),139,139,0
('GetFileAttributesW'; 'IsBadStringPtrW'),133,133,0
('GetFileAttributesW'; 'LocalFree'),143,143,0
('RegSetValueExW'; 'GetLongPathNameW'),133,133,0
('GetFileAttributesW'; 'GetCurrentThread'),142,142,0
('IsBadReadPtr'; 'GetLongPathNameW'),133,133,0
('GetFullPathNameW'; 'LocalAlloc'),139,139,0
('GetFullPathNameW'; 'GetCurrentProcessId'),137,137,0
('GetFileAttributesW'; 'GlobalFree'),138,138,0
('GetFileAttributesW'; 'IsBadWritePtr'),137,137,0
('GetFileAttributesW'; 'RegOpenKeyExW'),142,142,0
('RegEnumValueW'; 'GetLongPathNameW'),133,133,0
('GetLongPathNameW'; 'LocalFree'),133,133,0
('GetFileAttributesW'; 'IsBadReadPtr'),136,136,0
('LocalAlloc'; 'GetFileAttributesW'),143,143,0
('GetFullPathNameW'; 'LoadLibraryA'),138,138,0
('RegOpenKeyExA'; 'LoadLibraryW'),77,49,28
('LocalAlloc'; 'GetLongPathNameW'),133,133,0
('RegCloseKey'; 'GetFullPathNameW'),140,140,0
('IsBadWritePtr'; 'GetFullPathNameW'),140,140,0
('RegCloseKey'; 'GetFileAttributesW'),143,143,0
('IsBadWritePtr'; 'GetFileAttributesW'),140,140,0
('RegSetValueExW'; 'GlobalReAlloc'),153,128,25
('GetLongPathNameW'; 'IsBadWritePtr'),130,130,0
('IsBadStringPtrW'; 'GetFullPathNameW'),137,137,0
('GetLongPathNameW'; 'IsBadReadPtr'),130,130,0
('RegCloseKey'; 'GetLongPathNameW'),133,133,0
('IsBadWritePtr'; 'GetLongPathNameW'),133,133,0
('IsBadStringPtrW'; 'GetFileAttributesW'),139,139,0
('GetFileAttributesW'; 'GetFullPathNameW'),133,133,0
('RegQueryValueW'; 'GetLongPathNameW'),132,132,0
('IsBadStringPtrW'; 'GetLongPathNameW'),130,130,0
('GetFileAttributesW'; 'GetFileAttributesW'),141,141,0
('GetLongPathNameW'; 'GetCurrentThreadId'),132,132,0
('GetFullPathNameW'; 'GlobalFree'),132,132,0
('GlobalFree'; 'GetFullPathNameW'),129,129,0
('GetFileAttributesW'; 'GlobalUnlock'),131,131,0
('GetFullPathNameW'; 'RegOpenKeyExW'),137,137,0
('GetFullPathNameW'; 'RegCloseKey'),139,139,0
('GlobalFree'; 'GetFileAttributesW'),131,131,0
('RegOpenKeyExA'; 'GetLongPathNameW'),133,133,0
('GetFileAttributesW'; 'GetEnvironmentVariableW'),139,139,0
('RegSetValueExW'; 'GetFullPathNameW'),135,135,0
('GetLongPathNameW'; 'RegSetValueExW'),132,132,0
('LocalFree'; 'GetLongPathNameW'),133,133,0
('GlobalFree'; 'GetLongPathNameW'),129,129,0
('GlobalLock'; 'GetFileAttributesW'),130,130,0
('GetFullPathNameW'; 'HeapFree'),140,140,0
('GetLongPathNameW'; 'LocalAlloc'),133,133,0
('IsBadReadPtr'; 'GetFullPathNameW'),140,140,0
('RegOpenKeyExW'; 'LoadLibraryW'),77,49,28
('IsBadReadPtr'; 'GetFileAttributesW'),140,140,0
('GlobalLock'; 'GetLongPathNameW'),129,129,0
('GetLongPathNameW'; 'GlobalUnlock'),128,128,0
('GlobalSize'; 'GetFullPathNameW'),127,127,0
('RegEnumValueW'; 'GetFullPathNameW'),135,135,0
('GlobalSize'; 'GetFileAttributesW'),129,129,0
('RegSetValueExW'; 'GetEnvironmentVariableW'),164,138,26
('RegEnumValueW'; 'GetFileAttributesW'),142,142,0
('GetFileAttributesW'; 'CreateProcessW'),133,133,0
('GetLongPathNameW'; 'LoadLibraryA'),133,133,0
('GlobalSize'; 'GetLongPathNameW'),128,128,0
('GetFullPathNameW'; 'GetFileAttributesW'),136,136,0
('LocalAlloc'; 'GetFullPathNameW'),140,140,0
('GetFullPathNameW'; 'LoadLibraryExW'),131,131,0
('GetFullPathNameW'; 'GetLongPathNameW'),131,131,0
('GetFileAttributesW'; 'RegQueryValueExW'),142,142,0
('GetCurrentProcessId'; 'GetFullPathNameW'),140,140,0
('GetFileAttributesW'; 'HeapAlloc'),143,143,0
('RegOpenKeyExW'; 'GetFileAttributesW'),143,143,0
('GetCurrentProcessId'; 'GetFileAttributesW'),143,143,0
('GetFullPathNameW'; 'RegOpenKeyExA'),139,139,0
('RegSetValueExW'; 'GlobalSize'),154,129,25
('RegQueryValueExW'; 'GetFullPathNameW'),140,140,0
('GlobalAlloc'; 'GetFullPathNameW'),133,133,0
('RegQueryValueExW'; 'GetFileAttributesW'),143,143,0
('RegOpenKeyExW'; 'GetLongPathNameW'),133,133,0
('GetCurrentProcessId'; 'GetLongPathNameW'),133,133,0
('RegQueryValueW'; 'GetFullPathNameW'),131,131,0
('GlobalAlloc'; 'GetFileAttributesW'),136,136,0
('GetFileAttributesW'; 'GetCurrentThreadId'),143,143,0
('RegQueryValueW'; 'GetFileAttributesW'),135,135,0
('GetFullPathNameW'; 'IsBadStringPtrW'),137,137,0
('GetFullPathNameW'; 'LocalFree'),139,139,0
('RegQueryValueExW'; 'GetLongPathNameW'),133,133,0
('GetFullPathNameW'; 'GetCurrentThread'),137,137,0
('GlobalAlloc'; 'GetLongPathNameW'),130,130,0
