('LoadLibraryA'; 'LoadLibraryA'),248,192,56
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('SetThreadPriority';),106,72,34
('OpenProcess';),106,71,35
('ReadFile';),121,113,8
('GetFileAttributesW';),139,139,0
('GetFullPathNameW';),144,144,0
('GetLongPathNameW';),121,121,0
('GetLongPathNameW'; 'RegQueryValueExW'),121,121,0
('GetFileAttributesW'; 'RegSetValueExW'),122,122,0
('GetLongPathNameW'; 'HeapAlloc'),121,121,0
('SetThreadPriority'; 'HeapFree'),104,70,34
('GetLongPathNameW'; 'RegCloseKey'),121,121,0
('GetFileAttributesW'; 'LocalAlloc'),131,131,0
('RegOpenKeyExA'; 'GetFullPathNameW'),142,142,0
('OpenProcess'; 'RegOpenKeyExW'),100,65,35
('RegOpenKeyExA'; 'GetFileAttributesW'),138,138,0
('GetCurrentThreadId'; 'GetFileAttributesW'),139,139,0
('GlobalReAlloc'; 'GetLongPathNameW'),109,109,0
('LocalFree'; 'GetFullPathNameW'),144,144,0
('GetFullPathNameW'; 'IsBadWritePtr'),130,130,0
('GetLongPathNameW'; 'HeapFree'),121,121,0
('LocalFree'; 'GetFileAttributesW'),137,137,0
('GetFullPathNameW'; 'IsBadReadPtr'),131,131,0
('GetCurrentThreadId'; 'GetLongPathNameW'),121,121,0
('GetCurrentThread'; 'GetLongPathNameW'),116,116,0
('GlobalLock'; 'GetFullPathNameW'),115,115,0
('SetThreadPriority'; 'RegCreateKeyExW'),102,69,33
('GetFileAttributesW'; 'LoadLibraryA'),130,130,0
('LoadLibraryExW'; 'GetLongPathNameW'),115,115,0
('RegOpenKeyExW'; 'SetThreadPriority'),102,68,34
('HeapAlloc'; 'GetFullPathNameW'),144,144,0
('GetLongPathNameW'; 'GetCurrentProcessId'),115,115,0
('HeapAlloc'; 'GetFileAttributesW'),139,139,0
('HeapFree'; 'GetLongPathNameW'),121,121,0
('RegEnumKeyW'; 'GetLongPathNameW'),112,112,0
('GlobalUnlock'; 'GetFullPathNameW'),114,114,0
('HeapAlloc'; 'GetLongPathNameW'),121,121,0
('GlobalUnlock'; 'GetFileAttributesW'),112,112,0
('SetThreadPriority'; 'RegOpenKeyExA'),102,69,33
('RegOpenKeyExW'; 'OpenProcess'),106,71,35
('HeapFree'; 'SetThreadPriority'),103,69,34
('GetCurrentProcessId'; 'OpenProcess'),103,68,35
('GetFileAttributesW'; 'RegEnumValueW'),121,121,0
('GetFullPathNameW'; 'GetFullPathNameW'),126,126,0
('GetFullPathNameW'; 'RegSetValueExW'),116,116,0
