OpenProcess, RegSetValueExW
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),89,89,0
('GetFileAttributesW';),113,113,0
('GetFullPathNameW';),112,112,0
('GetLongPathNameW';),113,113,0
('IsBadReadPtr'; 'GetFullPathNameW'),112,112,0
('GetLongPathNameW'; 'IsBadWritePtr'),113,113,0
('GetFullPathNameW'; 'IsBadWritePtr'),112,112,0
('LocalFree'; 'GetFileAttributesW'),113,113,0
('GetFileAttributesW'; 'IsBadWritePtr'),113,113,0
('GetProcAddress'; 'GetProcAddress'),83,50,33
('RegQueryValueW'; 'GetLongPathNameW'),113,113,0
('GlobalLock'; 'GetLongPathNameW'),113,113,0
('CreateProcessW'; 'GetLongPathNameW'),113,113,0
('RegQueryValueW'; 'GetFullPathNameW'),112,112,0
('RegSetValueExW'; 'GlobalReAlloc'),137,113,24
('GlobalLock'; 'GetFullPathNameW'),112,112,0
('RegSetValueExW'; 'GlobalSize'),137,113,24
('LocalAlloc'; 'GetFileAttributesW'),113,113,0
('GlobalUnlock'; 'GetFileAttributesW'),113,113,0
('RegEnumValueW'; 'GetLongPathNameW'),113,113,0
('GetLongPathNameW'; 'HeapAlloc'),113,113,0
('GetLongPathNameW'; 'IsBadReadPtr'),113,113,0
('RegOpenKeyExA'; 'ReadFile'),89,89,0
('GetFullPathNameW'; 'HeapAlloc'),112,112,0
('GetFullPathNameW'; 'IsBadReadPtr'),112,112,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),113,113,0
('LocalFree'; 'GetLongPathNameW'),113,113,0
('LocalFree'; 'GetFullPathNameW'),112,112,0
('LocalAlloc'; 'GetLongPathNameW'),113,113,0
('LocalAlloc'; 'GetFullPathNameW'),112,112,0
('RegCloseKey'; 'GetFileAttributesW'),113,113,0
('GetLongPathNameW'; 'RegOpenKeyExA'),112,112,0
('GetCurrentProcessId'; 'GetLongPathNameW'),113,113,0
('GlobalUnlock'; 'GetLongPathNameW'),113,113,0
('GlobalUnlock'; 'GetFullPathNameW'),112,112,0
('GetCurrentThreadId'; 'GetFileAttributesW'),113,113,0
('GlobalAlloc'; 'GetLongPathNameW'),113,113,0
('GetLongPathNameW'; 'GlobalUnlock'),113,113,0
('GetFileAttributesW'; 'RegOpenKeyExA'),113,113,0
('GetFullPathNameW'; 'GlobalUnlock'),112,112,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),113,113,0
('GlobalSize'; 'GetFileAttributesW'),113,113,0
('RegOpenKeyExA'; 'GetFileAttributesW'),113,113,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),112,112,0
('GetCurrentThread'; 'GetFileAttributesW'),113,113,0
('RegEnumValueW'; 'GetFileAttributesW'),113,113,0
('RegCloseKey'; 'GetLongPathNameW'),113,113,0
('RegCloseKey'; 'GetFullPathNameW'),112,112,0
('RegEnumKeyW'; 'GetFileAttributesW'),113,113,0
('GetCurrentThreadId'; 'GetLongPathNameW'),113,113,0
('GetFullPathNameW'; 'LoadLibraryExW'),109,109,0
('GetCurrentThreadId'; 'GetFullPathNameW'),112,112,0
('GetFullPathNameW'; 'RegSetValueExW'),112,112,0
('GetLongPathNameW'; 'GlobalFree'),113,113,0
('GlobalSize'; 'GetLongPathNameW'),113,113,0
('RegOpenKeyExW'; 'GetFileAttributesW'),113,113,0
('RegOpenKeyExA'; 'GetLongPathNameW'),113,113,0
('GetCurrentProcessId'; 'GetFileAttributesW'),113,113,0
('GetLongPathNameW'; 'IsBadStringPtrW'),113,113,0
('GetFullPathNameW'; 'HeapFree'),112,112,0
('GetLongPathNameW'; 'RegCloseKey'),113,113,0
('GlobalSize'; 'GetFullPathNameW'),112,112,0
('RegOpenKeyExA'; 'GetFullPathNameW'),112,112,0
('GetFullPathNameW'; 'GetCurrentThread'),112,112,0
('GetFullPathNameW'; 'GlobalFree'),112,112,0
('GetCurrentThread'; 'GetLongPathNameW'),113,113,0
('GetFullPathNameW'; 'GetLongPathNameW'),112,112,0
('GetFullPathNameW'; 'IsBadStringPtrW'),112,112,0
('GetFullPathNameW'; 'RegCloseKey'),112,112,0
('GetCurrentThread'; 'GetFullPathNameW'),112,112,0
('GlobalAlloc'; 'GetFileAttributesW'),113,113,0
('RegEnumValueW'; 'GetFullPathNameW'),112,112,0
('RegSetValueExW'; 'GetEnvironmentVariableW'),138,113,25
('RegQueryValueExW'; 'GetFileAttributesW'),113,113,0
('RegEnumKeyW'; 'GetLongPathNameW'),113,113,0
('GetLongPathNameW'; 'RegQueryValueExW'),112,112,0
('RegEnumKeyW'; 'GetFullPathNameW'),112,112,0
('HeapFree'; 'GetFileAttributesW'),113,113,0
('GetFileAttributesW'; 'HeapAlloc'),113,113,0
('GetFileAttributesW'; 'IsBadReadPtr'),113,113,0
('GetFullPathNameW'; 'RegQueryValueExW'),112,112,0
('GetFullPathNameW'; 'RegOpenKeyExW'),112,112,0
('GetLongPathNameW'; 'LoadLibraryA'),112,112,0
('RegOpenKeyExW'; 'GetLongPathNameW'),113,113,0
('HeapAlloc'; 'GetFileAttributesW'),113,113,0
('GetLongPathNameW'; 'LocalFree'),113,113,0
('GetFullPathNameW'; 'LoadLibraryA'),111,111,0
('RegOpenKeyExW'; 'GetFullPathNameW'),112,112,0
('GetFileAttributesW'; 'GetEnvironmentVariableW'),113,113,0
('GetCurrentProcessId'; 'GetFullPathNameW'),112,112,0
('GetFullPathNameW'; 'LocalFree'),112,112,0
('GetFileAttributesW'; 'LoadLibraryA'),112,112,0
('GlobalAlloc'; 'GetFullPathNameW'),112,112,0
('RegSetValueExW'; 'GetFileAttributesW'),113,113,0
('IsBadStringPtrW'; 'GetFileAttributesW'),113,113,0
('IsBadWritePtr'; 'GetFileAttributesW'),113,113,0
('RegQueryValueExW'; 'GetLongPathNameW'),113,113,0
('GetLongPathNameW'; 'LocalAlloc'),113,113,0
('RegQueryValueExW'; 'GetFullPathNameW'),112,112,0
('HeapFree'; 'GetLongPathNameW'),113,113,0
('GetFullPathNameW'; 'GetCurrentThreadId'),112,112,0
('GetFileAttributesW'; 'GlobalUnlock'),113,113,0
('GetFullPathNameW'; 'LocalAlloc'),112,112,0
('HeapFree'; 'GetFullPathNameW'),112,112,0
('GetFullPathNameW'; 'GetFileAttributesW'),112,112,0
('GlobalReAlloc'; 'GetLongPathNameW'),113,113,0
('GetFileAttributesW'; 'LocalAlloc'),113,113,0
('HeapAlloc'; 'GetLongPathNameW'),113,113,0
('GetFileAttributesW'; 'GetFileAttributesW'),113,113,0
('HeapAlloc'; 'GetFullPathNameW'),112,112,0
('GetLongPathNameW'; 'RegSetValueExW'),113,113,0
('GetLongPathNameW'; 'HeapFree'),113,113,0
('RegSetValueExW'; 'GetLongPathNameW'),113,113,0
('IsBadStringPtrW'; 'GetLongPathNameW'),111,111,0
('IsBadWritePtr'; 'GetLongPathNameW'),113,113,0
('GetLongPathNameW'; 'GetCurrentThread'),113,113,0
('RegSetValueExW'; 'GetFullPathNameW'),112,112,0
('IsBadStringPtrW'; 'GetFullPathNameW'),110,110,0
('GetFileAttributesW'; 'LoadLibraryExW'),109,109,0
('GetFullPathNameW'; 'CreateProcessW'),112,112,0
('IsBadWritePtr'; 'GetFullPathNameW'),112,112,0
('GetLongPathNameW'; 'GetCurrentProcessId'),113,113,0
('GetFileAttributesW'; 'RegSetValueExW'),113,113,0
('GetFileAttributesW'; 'CreateProcessW'),113,113,0
('GetFullPathNameW'; 'GetCurrentProcessId'),112,112,0
('GetFileAttributesW'; 'HeapFree'),113,113,0
('GlobalFree'; 'GetFileAttributesW'),113,113,0
('GetFullPathNameW'; 'GetFullPathNameW'),112,112,0
('GetFileAttributesW'; 'GetCurrentThread'),113,113,0
('GetFileAttributesW'; 'GlobalFree'),113,113,0
('GetFileAttributesW'; 'GetLongPathNameW'),113,113,0
('GetFileAttributesW'; 'GetCurrentProcessId'),113,113,0
('GetFileAttributesW'; 'IsBadStringPtrW'),113,113,0
('GetFileAttributesW'; 'RegCloseKey'),113,113,0
('GetFileAttributesW'; 'GetFullPathNameW'),112,112,0
