('GetProcAddress'; 'LoadLibraryA'),256,199,57
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('SetThreadPriority';),113,78,35
('OpenProcess';),113,77,36
('ReadFile';),124,116,8
('GetFileAttributesW';),141,141,0
('GetFullPathNameW';),147,147,0
('GetLongPathNameW';),122,122,0
('GetLongPathNameW'; 'RegQueryValueExW'),122,122,0
('GlobalReAlloc'; 'RegCreateKeyExW'),117,82,35
('GetFileAttributesW'; 'RegSetValueExW'),124,124,0
('GetLongPathNameW'; 'HeapAlloc'),122,122,0
('SetThreadPriority'; 'HeapFree'),111,76,35
('GetLongPathNameW'; 'RegCloseKey'),122,122,0
('GetFileAttributesW'; 'LocalAlloc'),133,133,0
('GlobalLock'; 'OpenProcess'),106,70,36
('RegOpenKeyExA'; 'GetFullPathNameW'),145,145,0
('OpenProcess'; 'RegOpenKeyExW'),107,71,36
('RegOpenKeyExA'; 'GetFileAttributesW'),140,140,0
('GetCurrentThreadId'; 'GetFileAttributesW'),141,141,0
('GlobalReAlloc'; 'GetLongPathNameW'),110,110,0
('LocalFree'; 'GetFullPathNameW'),147,147,0
('GetFullPathNameW'; 'IsBadWritePtr'),133,133,0
('GetLongPathNameW'; 'HeapFree'),122,122,0
('LocalFree'; 'GetFileAttributesW'),139,139,0
('GetFullPathNameW'; 'IsBadReadPtr'),134,134,0
('GetCurrentThreadId'; 'GetLongPathNameW'),122,122,0
('GetCurrentThread'; 'GetLongPathNameW'),117,117,0
('GlobalSize'; 'OpenProcess'),104,68,36
('GlobalLock'; 'GetFullPathNameW'),116,116,0
('SetThreadPriority'; 'RegCreateKeyExW'),109,75,34
('GetFileAttributesW'; 'LoadLibraryA'),131,131,0
('LoadLibraryExW'; 'GetLongPathNameW'),116,116,0
('RegOpenKeyExW'; 'SetThreadPriority'),109,74,35
('HeapAlloc'; 'GetFullPathNameW'),147,147,0
('GetLongPathNameW'; 'GetCurrentProcessId'),116,116,0
('HeapAlloc'; 'GetFileAttributesW'),141,141,0
('HeapFree'; 'GetLongPathNameW'),122,122,0
('RegEnumKeyW'; 'GetLongPathNameW'),113,113,0
('GlobalUnlock'; 'GetFullPathNameW'),115,115,0
('HeapAlloc'; 'GetLongPathNameW'),122,122,0
('GlobalUnlock'; 'GetFileAttributesW'),113,113,0
