RegOpenKeyExA, LoadLibraryW
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),84,77,7
('GetFileAttributesW';),64,64,0
('GetFullPathNameW';),71,71,0
('IsBadReadPtr'; 'GetFullPathNameW'),68,68,0
('IsBadReadPtr'; 'RegCreateKeyExW'),75,47,28
('GlobalUnlock'; 'GetProcAddress'),72,44,28
('RegQueryValueW'; 'RegCreateKeyExW'),66,38,28
('RegOpenKeyExA'; 'ReadFile'),82,75,7
('RegCreateKeyExW'; 'IsBadWritePtr'),70,42,28
('GetFullPathNameW'; 'HeapAlloc'),71,71,0
('LocalFree'; 'GetFullPathNameW'),71,71,0
('LocalFree'; 'RegCreateKeyExW'),77,49,28
('LocalAlloc'; 'GetFullPathNameW'),71,71,0
('RegCloseKey'; 'GetFileAttributesW'),64,64,0
('LocalAlloc'; 'RegCreateKeyExW'),77,49,28
('GetCurrentThreadId'; 'GetFileAttributesW'),64,64,0
('RegCreateKeyExW'; 'HeapAlloc'),77,49,28
('RegCreateKeyExW'; 'IsBadReadPtr'),69,41,28
('GlobalAlloc'; 'RegCreateKeyExW'),68,40,28
('GetEnvironmentVariableW'; 'RegCreateKeyExW'),74,46,28
('RegCloseKey'; 'GetFullPathNameW'),71,71,0
('GetCurrentThreadId'; 'GetFullPathNameW'),71,71,0
('GetCurrentThreadId'; 'RegCreateKeyExW'),77,49,28
('GetFullPathNameW'; 'HeapFree'),71,71,0
('RegOpenKeyExA'; 'GetFullPathNameW'),70,70,0
('GetFullPathNameW'; 'RegCloseKey'),66,66,0
('GetCurrentThread'; 'RegCreateKeyExW'),77,49,28
('HeapFree'; 'GetFileAttributesW'),64,64,0
('GetFileAttributesW'; 'HeapAlloc'),64,64,0
('GetFullPathNameW'; 'RegQueryValueExW'),66,66,0
('RegCreateKeyExW'; 'RegSetValueExW'),72,44,28
('RegEnumKeyW'; 'RegCreateKeyExW'),64,36,28
('HeapAlloc'; 'GetFileAttributesW'),64,64,0
('RegCreateKeyExW'; 'HeapFree'),77,49,28
('RegOpenKeyExW'; 'GetFullPathNameW'),71,71,0
('GetCurrentProcessId'; 'GetFullPathNameW'),68,68,0
('RegCreateKeyExW'; 'GetCurrentThread'),74,46,28
('GetFullPathNameW'; 'LocalFree'),69,69,0
('RegQueryValueExW'; 'GetFullPathNameW'),71,71,0
('RegEnumKeyW'; 'GetProcAddress'),70,42,28
('GetFullPathNameW'; 'GetCurrentThreadId'),66,66,0
('GetFullPathNameW'; 'LocalAlloc'),68,68,0
('HeapFree'; 'GetFullPathNameW'),71,71,0
('HeapFree'; 'RegCreateKeyExW'),77,49,28
('HeapAlloc'; 'GetFullPathNameW'),71,71,0
('RegCreateKeyExW'; 'LocalFree'),77,49,28
('HeapAlloc'; 'RegCreateKeyExW'),77,49,28
('IsBadStringPtrW'; 'GetFullPathNameW'),66,66,0
('IsBadWritePtr'; 'GetFullPathNameW'),68,68,0
('RegCreateKeyExW'; 'GetCurrentThreadId'),77,49,28
('RegCreateKeyExW'; 'LocalAlloc'),77,49,28
('IsBadStringPtrW'; 'RegCreateKeyExW'),74,46,28
('RegSetValueExW'; 'RegCreateKeyExW'),74,46,28
('IsBadWritePtr'; 'RegCreateKeyExW'),75,47,28
('GetFileAttributesW'; 'HeapFree'),64,64,0
('GlobalReAlloc'; 'GetProcAddress'),66,38,28
('RegQueryValueW'; 'GetProcAddress'),71,41,30
('GlobalLock'; 'GetProcAddress'),73,45,28
('LoadLibraryA'; 'GlobalFree'),70,44,26
