OpenProcess, GetCurrentThreadId
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),92,92,0
('GetFileAttributesW';),113,113,0
('GetFullPathNameW';),112,112,0
('GetLongPathNameW';),112,112,0
('IsBadReadPtr'; 'GetFullPathNameW'),112,112,0
('GetLongPathNameW'; 'IsBadWritePtr'),112,112,0
('GetFullPathNameW'; 'IsBadWritePtr'),112,112,0
('LocalFree'; 'GetFileAttributesW'),113,113,0
('GetFileAttributesW'; 'IsBadWritePtr'),113,113,0
('GetProcAddress'; 'GetProcAddress'),89,54,35
('RegQueryValueW'; 'GetLongPathNameW'),110,110,0
('GlobalLock'; 'GetLongPathNameW'),111,111,0
('CreateProcessW'; 'GetLongPathNameW'),110,110,0
('RegQueryValueW'; 'GetFullPathNameW'),109,109,0
('RegSetValueExW'; 'GlobalReAlloc'),135,110,25
('GlobalLock'; 'GetFullPathNameW'),110,110,0
('RegSetValueExW'; 'GlobalSize'),135,110,25
('LocalAlloc'; 'GetFileAttributesW'),113,113,0
('GlobalUnlock'; 'GetFileAttributesW'),111,111,0
('RegEnumValueW'; 'GetLongPathNameW'),110,110,0
('GetLongPathNameW'; 'HeapAlloc'),112,112,0
('GetLongPathNameW'; 'IsBadReadPtr'),112,112,0
('RegOpenKeyExA'; 'ReadFile'),92,92,0
('GetFullPathNameW'; 'HeapAlloc'),112,112,0
('GetFullPathNameW'; 'IsBadReadPtr'),112,112,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),112,112,0
('LocalFree'; 'GetLongPathNameW'),112,112,0
('LocalFree'; 'GetFullPathNameW'),112,112,0
('LocalAlloc'; 'GetLongPathNameW'),112,112,0
('LocalAlloc'; 'GetFullPathNameW'),112,112,0
('RegCloseKey'; 'GetFileAttributesW'),113,113,0
('GetLongPathNameW'; 'RegOpenKeyExA'),112,112,0
('GetCurrentProcessId'; 'GetLongPathNameW'),111,111,0
('GlobalUnlock'; 'GetLongPathNameW'),111,111,0
('GlobalUnlock'; 'GetFullPathNameW'),110,110,0
('GetCurrentThreadId'; 'GetFileAttributesW'),113,113,0
('GlobalAlloc'; 'GetLongPathNameW'),111,111,0
('GetLongPathNameW'; 'GlobalUnlock'),110,110,0
('GetFileAttributesW'; 'RegOpenKeyExA'),112,112,0
('GetFullPathNameW'; 'GlobalUnlock'),110,110,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),111,111,0
('GlobalSize'; 'GetFileAttributesW'),110,110,0
('RegOpenKeyExA'; 'GetFileAttributesW'),112,112,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),110,110,0
('GetCurrentThread'; 'GetFileAttributesW'),111,111,0
('RegEnumValueW'; 'GetFileAttributesW'),111,111,0
('RegCloseKey'; 'GetLongPathNameW'),112,112,0
('RegCloseKey'; 'GetFullPathNameW'),112,112,0
('RegEnumKeyW'; 'GetFileAttributesW'),110,110,0
('GetCurrentThreadId'; 'GetLongPathNameW'),112,112,0
('GetFullPathNameW'; 'LoadLibraryExW'),108,108,0
('GetCurrentThreadId'; 'GetFullPathNameW'),112,112,0
('GetFullPathNameW'; 'RegSetValueExW'),109,109,0
('GetLongPathNameW'; 'GlobalFree'),110,110,0
('GlobalSize'; 'GetLongPathNameW'),110,110,0
('RegOpenKeyExW'; 'GetFileAttributesW'),113,113,0
('RegOpenKeyExA'; 'GetLongPathNameW'),111,111,0
('GetCurrentProcessId'; 'GetFileAttributesW'),112,112,0
('GetLongPathNameW'; 'IsBadStringPtrW'),112,112,0
('GetFullPathNameW'; 'HeapFree'),112,112,0
('GetLongPathNameW'; 'RegCloseKey'),112,112,0
('GlobalSize'; 'GetFullPathNameW'),109,109,0
('RegOpenKeyExA'; 'GetFullPathNameW'),112,112,0
('GetFullPathNameW'; 'GetCurrentThread'),109,109,0
('GetFullPathNameW'; 'GlobalFree'),110,110,0
('GetCurrentThread'; 'GetLongPathNameW'),111,111,0
('GetFullPathNameW'; 'GetLongPathNameW'),110,110,0
('GetFullPathNameW'; 'IsBadStringPtrW'),112,112,0
('GetFullPathNameW'; 'RegCloseKey'),112,112,0
('GetCurrentThread'; 'GetFullPathNameW'),110,110,0
('GlobalAlloc'; 'GetFileAttributesW'),112,112,0
('RegEnumValueW'; 'GetFullPathNameW'),111,111,0
('RegSetValueExW'; 'GetEnvironmentVariableW'),136,110,26
('RegQueryValueExW'; 'GetFileAttributesW'),112,112,0
('RegEnumKeyW'; 'GetLongPathNameW'),110,110,0
('GetLongPathNameW'; 'RegQueryValueExW'),112,112,0
('RegEnumKeyW'; 'GetFullPathNameW'),109,109,0
('HeapFree'; 'GetFileAttributesW'),113,113,0
('GetFileAttributesW'; 'HeapAlloc'),113,113,0
('GetFileAttributesW'; 'IsBadReadPtr'),113,113,0
('GetFullPathNameW'; 'RegQueryValueExW'),112,112,0
('GetFullPathNameW'; 'RegOpenKeyExW'),112,112,0
('GetLongPathNameW'; 'LoadLibraryA'),112,112,0
('RegOpenKeyExW'; 'GetLongPathNameW'),112,112,0
('HeapAlloc'; 'GetFileAttributesW'),113,113,0
('GetLongPathNameW'; 'LocalFree'),112,112,0
('GetFullPathNameW'; 'LoadLibraryA'),112,112,0
('RegOpenKeyExW'; 'GetFullPathNameW'),112,112,0
('GetFileAttributesW'; 'GetEnvironmentVariableW'),111,111,0
('GetCurrentProcessId'; 'GetFullPathNameW'),112,112,0
('GetFullPathNameW'; 'LocalFree'),112,112,0
('GetFileAttributesW'; 'LoadLibraryA'),112,112,0
('GlobalAlloc'; 'GetFullPathNameW'),110,110,0
('RegSetValueExW'; 'GetFileAttributesW'),110,110,0
('IsBadStringPtrW'; 'GetFileAttributesW'),111,111,0
('IsBadWritePtr'; 'GetFileAttributesW'),111,111,0
('RegQueryValueExW'; 'GetLongPathNameW'),111,111,0
('GetLongPathNameW'; 'LocalAlloc'),112,112,0
('RegQueryValueExW'; 'GetFullPathNameW'),112,112,0
('HeapFree'; 'GetLongPathNameW'),112,112,0
('GetFullPathNameW'; 'GetCurrentThreadId'),112,112,0
('GetFileAttributesW'; 'GlobalUnlock'),112,112,0
('GetFullPathNameW'; 'LocalAlloc'),112,112,0
('HeapFree'; 'GetFullPathNameW'),112,112,0
('GetFullPathNameW'; 'GetFileAttributesW'),111,111,0
('GlobalReAlloc'; 'GetLongPathNameW'),110,110,0
('GetFileAttributesW'; 'LocalAlloc'),113,113,0
('HeapAlloc'; 'GetLongPathNameW'),112,112,0
('GetFileAttributesW'; 'GetFileAttributesW'),112,112,0
('HeapAlloc'; 'GetFullPathNameW'),112,112,0
('GetLongPathNameW'; 'RegSetValueExW'),110,110,0
('GetLongPathNameW'; 'HeapFree'),112,112,0
('RegSetValueExW'; 'GetLongPathNameW'),110,110,0
('IsBadStringPtrW'; 'GetLongPathNameW'),108,108,0
('IsBadWritePtr'; 'GetLongPathNameW'),110,110,0
('GetLongPathNameW'; 'GetCurrentThread'),110,110,0
('RegSetValueExW'; 'GetFullPathNameW'),109,109,0
('IsBadStringPtrW'; 'GetFullPathNameW'),110,110,0
('GetFileAttributesW'; 'LoadLibraryExW'),108,108,0
('GetFullPathNameW'; 'CreateProcessW'),109,109,0
('IsBadWritePtr'; 'GetFullPathNameW'),112,112,0
('GetLongPathNameW'; 'GetCurrentProcessId'),112,112,0
('GetFileAttributesW'; 'RegSetValueExW'),110,110,0
('GetFileAttributesW'; 'CreateProcessW'),110,110,0
('GetFullPathNameW'; 'GetCurrentProcessId'),112,112,0
('GetFileAttributesW'; 'HeapFree'),113,113,0
('GlobalFree'; 'GetFileAttributesW'),111,111,0
('GetFullPathNameW'; 'GetFullPathNameW'),111,111,0
('GetFileAttributesW'; 'GetCurrentThread'),110,110,0
('GetFileAttributesW'; 'GlobalFree'),112,112,0
('GetFileAttributesW'; 'GetLongPathNameW'),112,112,0
('GetFileAttributesW'; 'GetCurrentProcessId'),113,113,0
('GetFileAttributesW'; 'IsBadStringPtrW'),113,113,0
('GetFileAttributesW'; 'RegCloseKey'),112,112,0
('GetFileAttributesW'; 'GetFullPathNameW'),111,111,0
