OpenProcess, RegOpenKeyExW
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),91,91,0
('GetFileAttributesW';),115,115,0
('GetFullPathNameW';),114,114,0
('GetLongPathNameW';),115,115,0
('IsBadReadPtr'; 'GetFullPathNameW'),114,114,0
('GetLongPathNameW'; 'IsBadWritePtr'),115,115,0
('GetFullPathNameW'; 'IsBadWritePtr'),114,114,0
('LocalFree'; 'GetFileAttributesW'),115,115,0
('GetFileAttributesW'; 'IsBadWritePtr'),115,115,0
('GetProcAddress'; 'GetProcAddress'),88,53,35
('RegQueryValueW'; 'GetLongPathNameW'),113,113,0
('GlobalLock'; 'GetLongPathNameW'),114,114,0
('CreateProcessW'; 'GetLongPathNameW'),113,113,0
('RegQueryValueW'; 'GetFullPathNameW'),112,112,0
('RegSetValueExW'; 'GlobalReAlloc'),138,113,25
('GlobalLock'; 'GetFullPathNameW'),113,113,0
('RegSetValueExW'; 'GlobalSize'),138,113,25
('LocalAlloc'; 'GetFileAttributesW'),115,115,0
('GlobalUnlock'; 'GetFileAttributesW'),114,114,0
('RegEnumValueW'; 'GetLongPathNameW'),113,113,0
('GetLongPathNameW'; 'HeapAlloc'),115,115,0
('GetLongPathNameW'; 'IsBadReadPtr'),115,115,0
('RegOpenKeyExA'; 'ReadFile'),91,91,0
('GetFullPathNameW'; 'HeapAlloc'),114,114,0
('GetFullPathNameW'; 'IsBadReadPtr'),114,114,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),114,114,0
('LocalFree'; 'GetLongPathNameW'),115,115,0
('LocalFree'; 'GetFullPathNameW'),114,114,0
('LocalAlloc'; 'GetLongPathNameW'),115,115,0
('LocalAlloc'; 'GetFullPathNameW'),114,114,0
('RegCloseKey'; 'GetFileAttributesW'),115,115,0
('GetLongPathNameW'; 'RegOpenKeyExA'),114,114,0
('GetCurrentProcessId'; 'GetLongPathNameW'),114,114,0
('GlobalUnlock'; 'GetLongPathNameW'),114,114,0
('GlobalUnlock'; 'GetFullPathNameW'),113,113,0
('GetCurrentThreadId'; 'GetFileAttributesW'),115,115,0
('GlobalAlloc'; 'GetLongPathNameW'),114,114,0
('GetLongPathNameW'; 'GlobalUnlock'),113,113,0
('GetFileAttributesW'; 'RegOpenKeyExA'),115,115,0
('GetFullPathNameW'; 'GlobalUnlock'),112,112,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),114,114,0
('GlobalSize'; 'GetFileAttributesW'),113,113,0
('RegOpenKeyExA'; 'GetFileAttributesW'),114,114,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),113,113,0
('GetCurrentThread'; 'GetFileAttributesW'),114,114,0
('RegEnumValueW'; 'GetFileAttributesW'),113,113,0
('RegCloseKey'; 'GetLongPathNameW'),115,115,0
('RegCloseKey'; 'GetFullPathNameW'),114,114,0
('RegEnumKeyW'; 'GetFileAttributesW'),113,113,0
('GetCurrentThreadId'; 'GetLongPathNameW'),115,115,0
('GetFullPathNameW'; 'LoadLibraryExW'),111,111,0
('GetCurrentThreadId'; 'GetFullPathNameW'),114,114,0
('GetFullPathNameW'; 'RegSetValueExW'),112,112,0
('GetLongPathNameW'; 'GlobalFree'),113,113,0
('GlobalSize'; 'GetLongPathNameW'),113,113,0
('RegOpenKeyExW'; 'GetFileAttributesW'),115,115,0
('RegOpenKeyExA'; 'GetLongPathNameW'),114,114,0
('GetCurrentProcessId'; 'GetFileAttributesW'),114,114,0
('GetLongPathNameW'; 'IsBadStringPtrW'),115,115,0
('GetFullPathNameW'; 'HeapFree'),114,114,0
('GetLongPathNameW'; 'RegCloseKey'),115,115,0
('GlobalSize'; 'GetFullPathNameW'),112,112,0
('RegOpenKeyExA'; 'GetFullPathNameW'),114,114,0
('GetFullPathNameW'; 'GetCurrentThread'),112,112,0
('GetFullPathNameW'; 'GlobalFree'),112,112,0
('GetCurrentThread'; 'GetLongPathNameW'),114,114,0
('GetFullPathNameW'; 'GetLongPathNameW'),113,113,0
('GetFullPathNameW'; 'IsBadStringPtrW'),114,114,0
('GetFullPathNameW'; 'RegCloseKey'),114,114,0
('GetCurrentThread'; 'GetFullPathNameW'),113,113,0
('GlobalAlloc'; 'GetFileAttributesW'),114,114,0
('RegEnumValueW'; 'GetFullPathNameW'),114,114,0
('RegSetValueExW'; 'GetEnvironmentVariableW'),139,113,26
('RegQueryValueExW'; 'GetFileAttributesW'),114,114,0
('RegEnumKeyW'; 'GetLongPathNameW'),113,113,0
('GetLongPathNameW'; 'RegQueryValueExW'),114,114,0
('RegEnumKeyW'; 'GetFullPathNameW'),112,112,0
('HeapFree'; 'GetFileAttributesW'),115,115,0
('GetFileAttributesW'; 'HeapAlloc'),115,115,0
('GetFileAttributesW'; 'IsBadReadPtr'),115,115,0
('GetFullPathNameW'; 'RegQueryValueExW'),114,114,0
('GetFullPathNameW'; 'RegOpenKeyExW'),114,114,0
('GetLongPathNameW'; 'LoadLibraryA'),114,114,0
('RegOpenKeyExW'; 'GetLongPathNameW'),115,115,0
('HeapAlloc'; 'GetFileAttributesW'),115,115,0
('GetLongPathNameW'; 'LocalFree'),115,115,0
('GetFullPathNameW'; 'LoadLibraryA'),113,113,0
('RegOpenKeyExW'; 'GetFullPathNameW'),114,114,0
('GetFileAttributesW'; 'GetEnvironmentVariableW'),113,113,0
('GetCurrentProcessId'; 'GetFullPathNameW'),114,114,0
('GetFullPathNameW'; 'LocalFree'),114,114,0
('GetFileAttributesW'; 'LoadLibraryA'),114,114,0
('GlobalAlloc'; 'GetFullPathNameW'),113,113,0
('RegSetValueExW'; 'GetFileAttributesW'),113,113,0
('IsBadStringPtrW'; 'GetFileAttributesW'),113,113,0
('IsBadWritePtr'; 'GetFileAttributesW'),113,113,0
('RegQueryValueExW'; 'GetLongPathNameW'),114,114,0
('GetLongPathNameW'; 'LocalAlloc'),115,115,0
('RegQueryValueExW'; 'GetFullPathNameW'),114,114,0
('HeapFree'; 'GetLongPathNameW'),115,115,0
('GetFullPathNameW'; 'GetCurrentThreadId'),114,114,0
('GetFileAttributesW'; 'GlobalUnlock'),114,114,0
('GetFullPathNameW'; 'LocalAlloc'),114,114,0
('HeapFree'; 'GetFullPathNameW'),114,114,0
('GetFullPathNameW'; 'GetFileAttributesW'),113,113,0
('GlobalReAlloc'; 'GetLongPathNameW'),113,113,0
('GetFileAttributesW'; 'LocalAlloc'),115,115,0
('HeapAlloc'; 'GetLongPathNameW'),115,115,0
('GetFileAttributesW'; 'GetFileAttributesW'),114,114,0
('HeapAlloc'; 'GetFullPathNameW'),114,114,0
('GetLongPathNameW'; 'RegSetValueExW'),113,113,0
('GetLongPathNameW'; 'HeapFree'),115,115,0
('RegSetValueExW'; 'GetLongPathNameW'),113,113,0
