('RegQueryValueExW'; 'OpenProcess'),164,118,46
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),91,91,0
('GetFileAttributesW';),117,117,0
('GetFullPathNameW';),116,116,0
('GetLongPathNameW';),116,116,0
('GetLongPathNameW'; 'RegQueryValueExW'),115,115,0
('GetFileAttributesW'; 'RegSetValueExW'),113,113,0
('GetLongPathNameW'; 'HeapAlloc'),116,116,0
('GetLongPathNameW'; 'RegCloseKey'),116,116,0
('GetFileAttributesW'; 'LocalAlloc'),117,117,0
('RegOpenKeyExA'; 'GetFullPathNameW'),116,116,0
('RegOpenKeyExA'; 'GetFileAttributesW'),116,116,0
('GetCurrentThreadId'; 'GetFileAttributesW'),117,117,0
('GlobalReAlloc'; 'GetLongPathNameW'),113,113,0
('LocalFree'; 'GetFullPathNameW'),116,116,0
('GetFullPathNameW'; 'IsBadWritePtr'),114,114,0
('GetLongPathNameW'; 'HeapFree'),116,116,0
('LocalFree'; 'GetFileAttributesW'),117,117,0
('GetFullPathNameW'; 'IsBadReadPtr'),114,114,0
('GetCurrentThreadId'; 'GetLongPathNameW'),116,116,0
('GetCurrentThread'; 'GetLongPathNameW'),115,115,0
('GlobalLock'; 'GetFullPathNameW'),113,113,0
('GetFileAttributesW'; 'LoadLibraryA'),115,115,0
('LoadLibraryExW'; 'GetLongPathNameW'),111,111,0
('HeapAlloc'; 'GetFullPathNameW'),116,116,0
('GetLongPathNameW'; 'GetCurrentProcessId'),114,114,0
('HeapAlloc'; 'GetFileAttributesW'),117,117,0
('HeapFree'; 'GetLongPathNameW'),116,116,0
('RegEnumKeyW'; 'GetLongPathNameW'),113,113,0
('GlobalUnlock'; 'GetFullPathNameW'),113,113,0
('HeapAlloc'; 'GetLongPathNameW'),116,116,0
('GlobalUnlock'; 'GetFileAttributesW'),114,114,0
('GetFileAttributesW'; 'RegEnumValueW'),114,114,0
('GetFullPathNameW'; 'GetFullPathNameW'),115,115,0
('GetFullPathNameW'; 'RegSetValueExW'),112,112,0
('GlobalUnlock'; 'GetLongPathNameW'),114,114,0
('GetLongPathNameW'; 'RegOpenKeyExA'),113,113,0
('GetFullPathNameW'; 'GlobalUnlock'),113,113,0
('RegOpenKeyExW'; 'GetFullPathNameW'),116,116,0
('GetFileAttributesW'; 'RegCloseKey'),116,116,0
('GetLongPathNameW'; 'IsBadStringPtrW'),114,114,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),114,114,0
('CreateProcessW'; 'GetLongPathNameW'),113,113,0
('GetLongPathNameW'; 'GetCurrentThread'),113,113,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),116,116,0
('GetFileAttributesW'; 'HeapFree'),117,117,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),115,115,0
('GlobalReAlloc'; 'GetFullPathNameW'),112,112,0
('GetLongPathNameW'; 'GlobalFree'),113,113,0
('GetLongPathNameW'; 'RegOpenKeyExW'),116,116,0
('GlobalReAlloc'; 'GetFileAttributesW'),113,113,0
('GetCurrentThreadId'; 'GetFullPathNameW'),116,116,0
('LoadLibraryA'; 'GlobalFree'),103,60,43
('GetFileAttributesW'; 'GetCurrentProcessId'),115,115,0
('GetCurrentThread'; 'GetFullPathNameW'),114,114,0
('GetFullPathNameW'; 'CreateProcessW'),112,112,0
