('OpenProcess'; 'RegOpenKeyExA'),157,112,45
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),91,91,0
('GetFileAttributesW';),112,112,0
('GetFullPathNameW';),111,111,0
('GetLongPathNameW';),111,111,0
('GetLongPathNameW'; 'RegQueryValueExW'),111,111,0
('GetFileAttributesW'; 'RegSetValueExW'),109,109,0
('GetLongPathNameW'; 'HeapAlloc'),111,111,0
('GetLongPathNameW'; 'RegCloseKey'),111,111,0
('GetFileAttributesW'; 'LocalAlloc'),112,112,0
('RegOpenKeyExA'; 'GetFullPathNameW'),111,111,0
('RegOpenKeyExA'; 'GetFileAttributesW'),111,111,0
('GetCurrentThreadId'; 'GetFileAttributesW'),112,112,0
('GlobalReAlloc'; 'GetLongPathNameW'),109,109,0
('LocalFree'; 'GetFullPathNameW'),111,111,0
('GetFullPathNameW'; 'IsBadWritePtr'),111,111,0
('GetLongPathNameW'; 'HeapFree'),111,111,0
('LocalFree'; 'GetFileAttributesW'),112,112,0
('GetFullPathNameW'; 'IsBadReadPtr'),111,111,0
('GetCurrentThreadId'; 'GetLongPathNameW'),111,111,0
('GetCurrentThread'; 'GetLongPathNameW'),110,110,0
('GlobalLock'; 'GetFullPathNameW'),109,109,0
('GetFileAttributesW'; 'LoadLibraryA'),111,111,0
('LoadLibraryExW'; 'GetLongPathNameW'),105,105,0
('HeapAlloc'; 'GetFullPathNameW'),111,111,0
('GetLongPathNameW'; 'GetCurrentProcessId'),111,111,0
('HeapAlloc'; 'GetFileAttributesW'),112,112,0
('HeapFree'; 'GetLongPathNameW'),111,111,0
('RegEnumKeyW'; 'GetLongPathNameW'),109,109,0
('GlobalUnlock'; 'GetFullPathNameW'),109,109,0
('HeapAlloc'; 'GetLongPathNameW'),111,111,0
('GlobalUnlock'; 'GetFileAttributesW'),110,110,0
('GetFileAttributesW'; 'RegEnumValueW'),111,111,0
('GetFullPathNameW'; 'GetFullPathNameW'),110,110,0
('GetFullPathNameW'; 'RegSetValueExW'),108,108,0
('GlobalUnlock'; 'GetLongPathNameW'),110,110,0
('GetLongPathNameW'; 'RegOpenKeyExA'),111,111,0
('GetFullPathNameW'; 'GlobalUnlock'),109,109,0
('RegOpenKeyExW'; 'GetFullPathNameW'),111,111,0
('GetFileAttributesW'; 'RegCloseKey'),111,111,0
('GetLongPathNameW'; 'IsBadStringPtrW'),111,111,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),109,109,0
('CreateProcessW'; 'GetLongPathNameW'),109,109,0
('GetLongPathNameW'; 'GetCurrentThread'),109,109,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),111,111,0
('GetFileAttributesW'; 'HeapFree'),112,112,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),110,110,0
('GlobalReAlloc'; 'GetFullPathNameW'),108,108,0
