GlobalUnlock, RegCreateKeyExW
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),102,102,0
('GetFileAttributesW';),132,132,0
('GetFullPathNameW';),134,134,0
('GetLongPathNameW';),132,132,0
('IsBadReadPtr'; 'GetFullPathNameW'),134,134,0
('GetLongPathNameW'; 'IsBadWritePtr'),131,131,0
('GetFullPathNameW'; 'IsBadWritePtr'),133,133,0
('LocalFree'; 'GetFileAttributesW'),132,132,0
('GetFileAttributesW'; 'IsBadWritePtr'),132,132,0
('GetProcAddress'; 'GetProcAddress'),97,63,34
('RegQueryValueW'; 'GetLongPathNameW'),132,132,0
('GlobalLock'; 'GetLongPathNameW'),132,132,0
('CreateProcessW'; 'GetLongPathNameW'),131,131,0
('RegQueryValueW'; 'GetFullPathNameW'),131,131,0
('RegSetValueExW'; 'GlobalReAlloc'),156,131,25
('GlobalLock'; 'GetFullPathNameW'),134,134,0
('RegSetValueExW'; 'GlobalSize'),156,131,25
('LocalAlloc'; 'GetFileAttributesW'),132,132,0
('GlobalUnlock'; 'GetFileAttributesW'),132,132,0
('RegEnumValueW'; 'GetLongPathNameW'),132,132,0
('GetLongPathNameW'; 'HeapAlloc'),132,132,0
('GetLongPathNameW'; 'IsBadReadPtr'),131,131,0
('RegOpenKeyExA'; 'ReadFile'),102,102,0
('GetFullPathNameW'; 'HeapAlloc'),134,134,0
('GetFullPathNameW'; 'IsBadReadPtr'),133,133,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),132,132,0
('LocalFree'; 'GetLongPathNameW'),132,132,0
('LocalFree'; 'GetFullPathNameW'),134,134,0
('LocalAlloc'; 'GetLongPathNameW'),132,132,0
('LocalAlloc'; 'GetFullPathNameW'),134,134,0
('RegCloseKey'; 'GetFileAttributesW'),132,132,0
('GetLongPathNameW'; 'RegOpenKeyExA'),131,131,0
('GetCurrentProcessId'; 'GetLongPathNameW'),132,132,0
('GlobalUnlock'; 'GetLongPathNameW'),132,132,0
('GlobalUnlock'; 'GetFullPathNameW'),134,134,0
('GetCurrentThreadId'; 'GetFileAttributesW'),132,132,0
('GlobalAlloc'; 'GetLongPathNameW'),132,132,0
('GetLongPathNameW'; 'GlobalUnlock'),131,131,0
('GetFileAttributesW'; 'RegOpenKeyExA'),132,132,0
('GetFullPathNameW'; 'GlobalUnlock'),131,131,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),132,132,0
