('GetProcAddress'; 'RegOpenKeyExA'),262,204,58
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('SetThreadPriority';),115,79,36
('OpenProcess';),115,78,37
('ReadFile';),125,117,8
('GetFileAttributesW';),142,142,0
('GetFullPathNameW';),150,150,0
('GetLongPathNameW';),123,123,0
('GetLongPathNameW'; 'RegQueryValueExW'),123,123,0
('GlobalReAlloc'; 'RegCreateKeyExW'),119,83,36
('GetFileAttributesW'; 'RegSetValueExW'),125,125,0
('GetLongPathNameW'; 'HeapAlloc'),123,123,0
('SetThreadPriority'; 'HeapFree'),113,77,36
('GetLongPathNameW'; 'RegCloseKey'),123,123,0
('GetFileAttributesW'; 'LocalAlloc'),134,134,0
('GlobalLock'; 'OpenProcess'),108,71,37
('RegOpenKeyExA'; 'GetFullPathNameW'),147,147,0
('OpenProcess'; 'RegOpenKeyExW'),109,72,37
('RegOpenKeyExA'; 'GetFileAttributesW'),141,141,0
('GetCurrentThreadId'; 'GetFileAttributesW'),142,142,0
('GlobalReAlloc'; 'GetLongPathNameW'),111,111,0
('LocalFree'; 'GetFullPathNameW'),150,150,0
('GetFullPathNameW'; 'IsBadWritePtr'),136,136,0
('GetLongPathNameW'; 'HeapFree'),123,123,0
('LocalFree'; 'GetFileAttributesW'),140,140,0
('GetFullPathNameW'; 'IsBadReadPtr'),137,137,0
('GetCurrentThreadId'; 'GetLongPathNameW'),123,123,0
('GetCurrentThread'; 'GetLongPathNameW'),118,118,0
('GlobalSize'; 'OpenProcess'),106,69,37
('GlobalLock'; 'GetFullPathNameW'),117,117,0
('SetThreadPriority'; 'RegCreateKeyExW'),111,76,35
('RegEnumKeyW'; 'RegCreateKeyExW'),121,85,36
('GetFileAttributesW'; 'LoadLibraryA'),132,132,0
('LoadLibraryExW'; 'GetLongPathNameW'),117,117,0
('RegOpenKeyExW'; 'SetThreadPriority'),111,75,36
('HeapAlloc'; 'GetFullPathNameW'),150,150,0
('GetLongPathNameW'; 'GetCurrentProcessId'),117,117,0
('HeapAlloc'; 'GetFileAttributesW'),142,142,0
('HeapFree'; 'GetLongPathNameW'),123,123,0
('RegEnumKeyW'; 'GetLongPathNameW'),114,114,0
('GlobalUnlock'; 'GetFullPathNameW'),116,116,0
('HeapAlloc'; 'GetLongPathNameW'),123,123,0
('GlobalUnlock'; 'GetFileAttributesW'),114,114,0
('SetThreadPriority'; 'RegOpenKeyExA'),111,76,35
('RegOpenKeyExW'; 'OpenProcess'),115,78,37
('HeapFree'; 'SetThreadPriority'),112,76,36
('GetCurrentProcessId'; 'OpenProcess'),112,75,37
('GetFileAttributesW'; 'RegEnumValueW'),123,123,0
('GetFullPathNameW'; 'GetFullPathNameW'),128,128,0
('GetFullPathNameW'; 'RegSetValueExW'),119,119,0
('GlobalUnlock'; 'GetLongPathNameW'),113,113,0
('RegQueryValueExW'; 'OpenProcess'),111,74,37
('GlobalReAlloc'; 'SetThreadPriority'),110,74,36
