('OpenProcess'; 'LocalFree'),163,117,46
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),92,92,0
('GetFileAttributesW';),116,116,0
('GetFullPathNameW';),115,115,0
('GetLongPathNameW';),115,115,0
('GetLongPathNameW'; 'RegQueryValueExW'),114,114,0
('GetFileAttributesW'; 'RegSetValueExW'),113,113,0
('GetLongPathNameW'; 'HeapAlloc'),115,115,0
('GetLongPathNameW'; 'RegCloseKey'),115,115,0
('GetFileAttributesW'; 'LocalAlloc'),116,116,0
('RegOpenKeyExA'; 'GetFullPathNameW'),115,115,0
('RegOpenKeyExA'; 'GetFileAttributesW'),115,115,0
('GetCurrentThreadId'; 'GetFileAttributesW'),116,116,0
('GlobalReAlloc'; 'GetLongPathNameW'),113,113,0
('LocalFree'; 'GetFullPathNameW'),115,115,0
('GetFullPathNameW'; 'IsBadWritePtr'),115,115,0
('GetLongPathNameW'; 'HeapFree'),115,115,0
('LocalFree'; 'GetFileAttributesW'),116,116,0
('GetFullPathNameW'; 'IsBadReadPtr'),115,115,0
('GetCurrentThreadId'; 'GetLongPathNameW'),115,115,0
('GetCurrentThread'; 'GetLongPathNameW'),114,114,0
('GlobalLock'; 'GetFullPathNameW'),113,113,0
('GetFileAttributesW'; 'LoadLibraryA'),114,114,0
('LoadLibraryExW'; 'GetLongPathNameW'),109,109,0
('HeapAlloc'; 'GetFullPathNameW'),115,115,0
('GetLongPathNameW'; 'GetCurrentProcessId'),115,115,0
('HeapAlloc'; 'GetFileAttributesW'),116,116,0
('HeapFree'; 'GetLongPathNameW'),115,115,0
('RegEnumKeyW'; 'GetLongPathNameW'),113,113,0
('GlobalUnlock'; 'GetFullPathNameW'),113,113,0
('HeapAlloc'; 'GetLongPathNameW'),115,115,0
('GlobalUnlock'; 'GetFileAttributesW'),114,114,0
('GetFileAttributesW'; 'RegEnumValueW'),115,115,0
('GetFullPathNameW'; 'GetFullPathNameW'),114,114,0
('GetFullPathNameW'; 'RegSetValueExW'),112,112,0
('GlobalUnlock'; 'GetLongPathNameW'),114,114,0
('GetLongPathNameW'; 'RegOpenKeyExA'),114,114,0
('GetFullPathNameW'; 'GlobalUnlock'),113,113,0
('RegOpenKeyExW'; 'GetFullPathNameW'),115,115,0
('GetFileAttributesW'; 'RegCloseKey'),115,115,0
('GetLongPathNameW'; 'IsBadStringPtrW'),115,115,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),113,113,0
('CreateProcessW'; 'GetLongPathNameW'),113,113,0
('GetLongPathNameW'; 'GetCurrentThread'),113,113,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),115,115,0
('GetFileAttributesW'; 'HeapFree'),116,116,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),114,114,0
('GlobalReAlloc'; 'GetFullPathNameW'),112,112,0
('GetLongPathNameW'; 'GlobalFree'),113,113,0
('GetLongPathNameW'; 'RegOpenKeyExW'),115,115,0
('GlobalReAlloc'; 'GetFileAttributesW'),113,113,0
('GetCurrentThreadId'; 'GetFullPathNameW'),115,115,0
('LoadLibraryA'; 'GlobalFree'),103,60,43
('GetFileAttributesW'; 'GetCurrentProcessId'),116,116,0
('GetCurrentThread'; 'GetFullPathNameW'),113,113,0
('GetFullPathNameW'; 'CreateProcessW'),112,112,0
('GetCurrentThread'; 'GetFileAttributesW'),114,114,0
('GetFileAttributesW'; 'LoadLibraryExW'),111,111,0
('GetFileAttributesW'; 'GetLongPathNameW'),115,115,0
('HeapFree'; 'GetFullPathNameW'),115,115,0
('GetFullPathNameW'; 'RegQueryValueExW'),115,115,0
('RegEnumKeyW'; 'GetFullPathNameW'),112,112,0
('HeapFree'; 'GetFileAttributesW'),116,116,0
('GetFullPathNameW'; 'HeapAlloc'),115,115,0
('RegEnumKeyW'; 'GetFileAttributesW'),113,113,0
('GetFileAttributesW'; 'RegOpenKeyExA'),115,115,0
('RegOpenKeyExA'; 'ReadFile'),92,92,0
('RegSetValueExW'; 'GetFileAttributesW'),113,113,0
('GetFullPathNameW'; 'GetCurrentThreadId'),115,115,0
('GetFileAttributesW'; 'IsBadStringPtrW'),116,116,0
('GetFileAttributesW'; 'LocalFree'),116,116,0
('RegSetValueExW'; 'GetLongPathNameW'),113,113,0
('GetProcAddress'; 'GetProcAddress'),89,54,35
('GetFileAttributesW'; 'GetCurrentThread'),113,113,0
('IsBadReadPtr'; 'GetLongPathNameW'),113,113,0
('GetFullPathNameW'; 'LocalAlloc'),115,115,0
('GetFullPathNameW'; 'GetCurrentProcessId'),115,115,0
('GetFileAttributesW'; 'GlobalFree'),115,115,0
('GetFileAttributesW'; 'IsBadWritePtr'),116,116,0
('GetFileAttributesW'; 'RegOpenKeyExW'),115,115,0
('RegEnumValueW'; 'GetLongPathNameW'),113,113,0
('GetLongPathNameW'; 'LocalFree'),115,115,0
('GetFileAttributesW'; 'IsBadReadPtr'),116,116,0
('LocalAlloc'; 'GetFileAttributesW'),116,116,0
('GetFullPathNameW'; 'LoadLibraryA'),114,114,0
('LocalAlloc'; 'GetLongPathNameW'),115,115,0
('RegCloseKey'; 'GetFullPathNameW'),115,115,0
('IsBadWritePtr'; 'GetFullPathNameW'),115,115,0
('RegCloseKey'; 'GetFileAttributesW'),116,116,0
('IsBadWritePtr'; 'GetFileAttributesW'),114,114,0
('GetLongPathNameW'; 'IsBadWritePtr'),115,115,0
('IsBadStringPtrW'; 'GetFullPathNameW'),113,113,0
('GetLongPathNameW'; 'IsBadReadPtr'),115,115,0
('RegCloseKey'; 'GetLongPathNameW'),115,115,0
('IsBadWritePtr'; 'GetLongPathNameW'),113,113,0
('IsBadStringPtrW'; 'GetFileAttributesW'),114,114,0
('GetFileAttributesW'; 'GetFullPathNameW'),114,114,0
('RegQueryValueW'; 'GetLongPathNameW'),113,113,0
('IsBadStringPtrW'; 'GetLongPathNameW'),111,111,0
('GetFileAttributesW'; 'GetFileAttributesW'),115,115,0
('GetLongPathNameW'; 'GetCurrentThreadId'),115,115,0
('GetFullPathNameW'; 'GlobalFree'),113,113,0
('GlobalFree'; 'GetFullPathNameW'),113,113,0
('GetFileAttributesW'; 'GlobalUnlock'),115,115,0
('GetFullPathNameW'; 'RegOpenKeyExW'),115,115,0
('GetFullPathNameW'; 'RegCloseKey'),115,115,0
('GlobalFree'; 'GetFileAttributesW'),114,114,0
('RegOpenKeyExA'; 'GetLongPathNameW'),114,114,0
('GetFileAttributesW'; 'GetEnvironmentVariableW'),114,114,0
('RegSetValueExW'; 'GetFullPathNameW'),112,112,0
('GetLongPathNameW'; 'RegSetValueExW'),113,113,0
('LocalFree'; 'GetLongPathNameW'),115,115,0
('GlobalFree'; 'GetLongPathNameW'),114,114,0
('GlobalLock'; 'GetFileAttributesW'),115,115,0
('GetFullPathNameW'; 'HeapFree'),115,115,0
('GetLongPathNameW'; 'LocalAlloc'),115,115,0
('IsBadReadPtr'; 'GetFullPathNameW'),115,115,0
('IsBadReadPtr'; 'GetFileAttributesW'),114,114,0
('GlobalLock'; 'GetLongPathNameW'),114,114,0
('GetLongPathNameW'; 'GlobalUnlock'),113,113,0
('GlobalSize'; 'GetFullPathNameW'),112,112,0
('RegEnumValueW'; 'GetFullPathNameW'),114,114,0
('GlobalSize'; 'GetFileAttributesW'),113,113,0
('RegEnumValueW'; 'GetFileAttributesW'),114,114,0
('GetFileAttributesW'; 'CreateProcessW'),113,113,0
('GetLongPathNameW'; 'LoadLibraryA'),114,114,0
('GlobalSize'; 'GetLongPathNameW'),113,113,0
('GetFullPathNameW'; 'GetFileAttributesW'),114,114,0
('LocalAlloc'; 'GetFullPathNameW'),115,115,0
('GetFullPathNameW'; 'LoadLibraryExW'),111,111,0
('GetFullPathNameW'; 'GetLongPathNameW'),113,113,0
('GetFileAttributesW'; 'RegQueryValueExW'),115,115,0
('GetCurrentProcessId'; 'GetFullPathNameW'),115,115,0
('GetFileAttributesW'; 'HeapAlloc'),116,116,0
('RegOpenKeyExW'; 'GetFileAttributesW'),116,116,0
('GetCurrentProcessId'; 'GetFileAttributesW'),115,115,0
('GetFullPathNameW'; 'RegOpenKeyExA'),114,114,0
('RegQueryValueExW'; 'GetFullPathNameW'),115,115,0
('GlobalAlloc'; 'GetFullPathNameW'),113,113,0
('RegQueryValueExW'; 'GetFileAttributesW'),115,115,0
('RegOpenKeyExW'; 'GetLongPathNameW'),115,115,0
('GetCurrentProcessId'; 'GetLongPathNameW'),114,114,0
('RegQueryValueW'; 'GetFullPathNameW'),112,112,0
('GlobalAlloc'; 'GetFileAttributesW'),115,115,0
('GetFileAttributesW'; 'GetCurrentThreadId'),116,116,0
('RegQueryValueW'; 'GetFileAttributesW'),113,113,0
('GetFullPathNameW'; 'IsBadStringPtrW'),115,115,0
('GetFullPathNameW'; 'LocalFree'),115,115,0
('RegQueryValueExW'; 'GetLongPathNameW'),114,114,0
('GetFullPathNameW'; 'GetCurrentThread'),112,112,0
('GlobalAlloc'; 'GetLongPathNameW'),114,114,0
