GetEnvironmentVariableW, RegCreateKeyExW
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),113,113,0
('GetFileAttributesW';),143,143,0
('GetFullPathNameW';),140,140,0
('GetLongPathNameW';),136,136,0
('IsBadReadPtr'; 'GetFullPathNameW'),140,140,0
('GetLongPathNameW'; 'IsBadWritePtr'),133,133,0
('GetFullPathNameW'; 'IsBadWritePtr'),137,137,0
('LocalFree'; 'GetFileAttributesW'),143,143,0
('GetFileAttributesW'; 'IsBadWritePtr'),139,139,0
('RegQueryValueW'; 'GetLongPathNameW'),135,135,0
('GlobalLock'; 'GetLongPathNameW'),132,132,0
('CreateProcessW'; 'GetLongPathNameW'),132,132,0
('RegQueryValueW'; 'GetFullPathNameW'),134,134,0
('RegSetValueExW'; 'GlobalReAlloc'),156,131,25
('GlobalLock'; 'GetFullPathNameW'),134,134,0
('RegSetValueExW'; 'GlobalSize'),157,132,25
('LocalAlloc'; 'GetFileAttributesW'),143,143,0
('GlobalUnlock'; 'GetFileAttributesW'),133,133,0
('RegEnumValueW'; 'GetLongPathNameW'),136,136,0
('GetLongPathNameW'; 'HeapAlloc'),136,136,0
('GetLongPathNameW'; 'IsBadReadPtr'),133,133,0
('RegOpenKeyExA'; 'ReadFile'),113,113,0
('GetFullPathNameW'; 'HeapAlloc'),140,140,0
('GetFullPathNameW'; 'IsBadReadPtr'),137,137,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),142,142,0
('LocalFree'; 'GetLongPathNameW'),136,136,0
('LocalFree'; 'GetFullPathNameW'),140,140,0
('LocalAlloc'; 'GetLongPathNameW'),136,136,0
('LocalAlloc'; 'GetFullPathNameW'),140,140,0
('RegCloseKey'; 'GetFileAttributesW'),143,143,0
('GetLongPathNameW'; 'RegOpenKeyExA'),134,134,0
('GetCurrentProcessId'; 'GetLongPathNameW'),136,136,0
('GlobalUnlock'; 'GetLongPathNameW'),132,132,0
('GlobalUnlock'; 'GetFullPathNameW'),134,134,0
('GetCurrentThreadId'; 'GetFileAttributesW'),143,143,0
('GlobalAlloc'; 'GetLongPathNameW'),133,133,0
('GetLongPathNameW'; 'GlobalUnlock'),131,131,0
('GetFileAttributesW'; 'RegOpenKeyExA'),143,143,0
('GetFullPathNameW'; 'GlobalUnlock'),131,131,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),136,136,0
('GlobalSize'; 'GetFileAttributesW'),132,132,0
('RegOpenKeyExA'; 'GetFileAttributesW'),143,143,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),138,138,0
('GetCurrentThread'; 'GetFileAttributesW'),143,143,0
('RegEnumValueW'; 'GetFileAttributesW'),142,142,0
('RegCloseKey'; 'GetLongPathNameW'),136,136,0
('RegCloseKey'; 'GetFullPathNameW'),140,140,0
('RegEnumKeyW'; 'GetFileAttributesW'),137,137,0
('GetCurrentThreadId'; 'GetLongPathNameW'),136,136,0
('GetFullPathNameW'; 'LoadLibraryExW'),132,132,0
('GetCurrentThreadId'; 'GetFullPathNameW'),140,140,0
('GetFullPathNameW'; 'RegSetValueExW'),136,136,0
('GetLongPathNameW'; 'GlobalFree'),131,131,0
('GlobalSize'; 'GetLongPathNameW'),131,131,0
('RegOpenKeyExW'; 'GetFileAttributesW'),143,143,0
('RegOpenKeyExA'; 'GetLongPathNameW'),136,136,0
('GetCurrentProcessId'; 'GetFileAttributesW'),143,143,0
('GetLongPathNameW'; 'IsBadStringPtrW'),133,133,0
('GetFullPathNameW'; 'HeapFree'),140,140,0
('GetLongPathNameW'; 'RegCloseKey'),136,136,0
('GlobalSize'; 'GetFullPathNameW'),130,130,0
('RegOpenKeyExA'; 'GetFullPathNameW'),139,139,0
('GetFullPathNameW'; 'GetCurrentThread'),137,137,0
('GetFullPathNameW'; 'GlobalFree'),132,132,0
('GetCurrentThread'; 'GetLongPathNameW'),136,136,0
('GetFullPathNameW'; 'GetLongPathNameW'),134,134,0
('GetFullPathNameW'; 'IsBadStringPtrW'),137,137,0
('GetFullPathNameW'; 'RegCloseKey'),139,139,0
('GetCurrentThread'; 'GetFullPathNameW'),139,139,0
('GlobalAlloc'; 'GetFileAttributesW'),139,139,0
('RegEnumValueW'; 'GetFullPathNameW'),138,138,0
('RegSetValueExW'; 'GetEnvironmentVariableW'),167,141,26
('RegQueryValueExW'; 'GetFileAttributesW'),143,143,0
('RegEnumKeyW'; 'GetLongPathNameW'),135,135,0
('GetLongPathNameW'; 'RegQueryValueExW'),135,135,0
('RegEnumKeyW'; 'GetFullPathNameW'),136,136,0
('HeapFree'; 'GetFileAttributesW'),143,143,0
('GetFileAttributesW'; 'HeapAlloc'),143,143,0
('GetFileAttributesW'; 'IsBadReadPtr'),138,138,0
('GetFullPathNameW'; 'RegQueryValueExW'),139,139,0
('GetFullPathNameW'; 'RegOpenKeyExW'),137,137,0
('GetLongPathNameW'; 'LoadLibraryA'),135,135,0
('RegOpenKeyExW'; 'GetLongPathNameW'),136,136,0
('HeapAlloc'; 'GetFileAttributesW'),143,143,0
('GetLongPathNameW'; 'LocalFree'),136,136,0
('GetFullPathNameW'; 'LoadLibraryA'),138,138,0
('RegOpenKeyExW'; 'GetFullPathNameW'),140,140,0
('GetFileAttributesW'; 'GetEnvironmentVariableW'),142,142,0
('GetCurrentProcessId'; 'GetFullPathNameW'),140,140,0
('GetFullPathNameW'; 'LocalFree'),139,139,0
('GetFileAttributesW'; 'LoadLibraryA'),142,142,0
('GlobalAlloc'; 'GetFullPathNameW'),136,136,0
('RegSetValueExW'; 'GetFileAttributesW'),142,142,0
('IsBadStringPtrW'; 'GetFileAttributesW'),139,139,0
('IsBadWritePtr'; 'GetFileAttributesW'),140,140,0
('RegQueryValueExW'; 'GetLongPathNameW'),136,136,0
('GetLongPathNameW'; 'LocalAlloc'),136,136,0
('RegQueryValueExW'; 'GetFullPathNameW'),140,140,0
('HeapFree'; 'GetLongPathNameW'),136,136,0
('GetFullPathNameW'; 'GetCurrentThreadId'),139,139,0
('GetFileAttributesW'; 'GlobalUnlock'),132,132,0
('GetFullPathNameW'; 'LocalAlloc'),139,139,0
('HeapFree'; 'GetFullPathNameW'),140,140,0
('GetFullPathNameW'; 'GetFileAttributesW'),136,136,0
('GlobalReAlloc'; 'GetLongPathNameW'),132,132,0
('GetFileAttributesW'; 'LocalAlloc'),143,143,0
('HeapAlloc'; 'GetLongPathNameW'),136,136,0
('GetFileAttributesW'; 'GetFileAttributesW'),142,142,0
('HeapAlloc'; 'GetFullPathNameW'),140,140,0
('GetLongPathNameW'; 'RegSetValueExW'),135,135,0
('GetLongPathNameW'; 'HeapFree'),136,136,0
('RegSetValueExW'; 'GetLongPathNameW'),136,136,0
('IsBadStringPtrW'; 'GetLongPathNameW'),133,133,0
('IsBadWritePtr'; 'GetLongPathNameW'),136,136,0
('GetLongPathNameW'; 'GetCurrentThread'),135,135,0
('RegSetValueExW'; 'GetFullPathNameW'),138,138,0
('IsBadStringPtrW'; 'GetFullPathNameW'),137,137,0
('GetFileAttributesW'; 'LoadLibraryExW'),135,135,0
('GetFullPathNameW'; 'CreateProcessW'),134,134,0
('IsBadWritePtr'; 'GetFullPathNameW'),140,140,0
('GetLongPathNameW'; 'GetCurrentProcessId'),134,134,0
('GetFileAttributesW'; 'RegSetValueExW'),143,143,0
('GetFileAttributesW'; 'CreateProcessW'),136,136,0
('GetFullPathNameW'; 'GetCurrentProcessId'),138,138,0
('GetFileAttributesW'; 'HeapFree'),143,143,0
