IsBadReadPtr, OpenProcess
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),91,91,0
('GetFileAttributesW';),114,114,0
('GetFullPathNameW';),113,113,0
('GetLongPathNameW';),113,113,0
('IsBadReadPtr'; 'GetFullPathNameW'),113,113,0
('GetLongPathNameW'; 'IsBadWritePtr'),113,113,0
('GetFullPathNameW'; 'IsBadWritePtr'),113,113,0
('LocalFree'; 'GetFileAttributesW'),114,114,0
('GetFileAttributesW'; 'IsBadWritePtr'),114,114,0
('GetProcAddress'; 'GetProcAddress'),87,52,35
('RegQueryValueW'; 'GetLongPathNameW'),113,113,0
('GlobalLock'; 'GetLongPathNameW'),113,113,0
('CreateProcessW'; 'GetLongPathNameW'),113,113,0
('RegQueryValueW'; 'GetFullPathNameW'),112,112,0
('RegSetValueExW'; 'GlobalReAlloc'),138,113,25
('GlobalLock'; 'GetFullPathNameW'),112,112,0
('RegSetValueExW'; 'GlobalSize'),138,113,25
('LocalAlloc'; 'GetFileAttributesW'),114,114,0
('GlobalUnlock'; 'GetFileAttributesW'),113,113,0
('RegEnumValueW'; 'GetLongPathNameW'),113,113,0
('GetLongPathNameW'; 'HeapAlloc'),113,113,0
('GetLongPathNameW'; 'IsBadReadPtr'),113,113,0
('RegOpenKeyExA'; 'ReadFile'),91,91,0
('GetFullPathNameW'; 'HeapAlloc'),113,113,0
('GetFullPathNameW'; 'IsBadReadPtr'),113,113,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),114,114,0
('LocalFree'; 'GetLongPathNameW'),113,113,0
('LocalFree'; 'GetFullPathNameW'),113,113,0
('LocalAlloc'; 'GetLongPathNameW'),113,113,0
('LocalAlloc'; 'GetFullPathNameW'),113,113,0
('RegCloseKey'; 'GetFileAttributesW'),114,114,0
('GetLongPathNameW'; 'RegOpenKeyExA'),112,112,0
('GetCurrentProcessId'; 'GetLongPathNameW'),113,113,0
('GlobalUnlock'; 'GetLongPathNameW'),113,113,0
('GlobalUnlock'; 'GetFullPathNameW'),112,112,0
('GetCurrentThreadId'; 'GetFileAttributesW'),114,114,0
('GlobalAlloc'; 'GetLongPathNameW'),113,113,0
('GetLongPathNameW'; 'GlobalUnlock'),113,113,0
('GetFileAttributesW'; 'RegOpenKeyExA'),113,113,0
('GetFullPathNameW'; 'GlobalUnlock'),113,113,0
('GetEnvironmentVariableW'; 'GetLongPathNameW'),113,113,0
('GlobalSize'; 'GetFileAttributesW'),113,113,0
('RegOpenKeyExA'; 'GetFileAttributesW'),114,114,0
('GetEnvironmentVariableW'; 'GetFullPathNameW'),112,112,0
('GetCurrentThread'; 'GetFileAttributesW'),113,113,0
('RegEnumValueW'; 'GetFileAttributesW'),114,114,0
('RegCloseKey'; 'GetLongPathNameW'),113,113,0
('RegCloseKey'; 'GetFullPathNameW'),113,113,0
('RegEnumKeyW'; 'GetFileAttributesW'),113,113,0
('GetCurrentThreadId'; 'GetLongPathNameW'),113,113,0
('GetFullPathNameW'; 'LoadLibraryExW'),109,109,0
('GetCurrentThreadId'; 'GetFullPathNameW'),113,113,0
('GetFullPathNameW'; 'RegSetValueExW'),112,112,0
('GetLongPathNameW'; 'GlobalFree'),113,113,0
('GlobalSize'; 'GetLongPathNameW'),113,113,0
('RegOpenKeyExW'; 'GetFileAttributesW'),114,114,0
('RegOpenKeyExA'; 'GetLongPathNameW'),113,113,0
('GetCurrentProcessId'; 'GetFileAttributesW'),114,114,0
('GetLongPathNameW'; 'IsBadStringPtrW'),113,113,0
('GetFullPathNameW'; 'HeapFree'),113,113,0
('GetLongPathNameW'; 'RegCloseKey'),113,113,0
('GlobalSize'; 'GetFullPathNameW'),112,112,0
('RegOpenKeyExA'; 'GetFullPathNameW'),113,113,0
('GetFullPathNameW'; 'GetCurrentThread'),112,112,0
('GetFullPathNameW'; 'GlobalFree'),113,113,0
('GetCurrentThread'; 'GetLongPathNameW'),113,113,0
('GetFullPathNameW'; 'GetLongPathNameW'),112,112,0
('GetFullPathNameW'; 'IsBadStringPtrW'),113,113,0
('GetFullPathNameW'; 'RegCloseKey'),113,113,0
('GetCurrentThread'; 'GetFullPathNameW'),112,112,0
('GlobalAlloc'; 'GetFileAttributesW'),114,114,0
('RegEnumValueW'; 'GetFullPathNameW'),112,112,0
('RegSetValueExW'; 'GetEnvironmentVariableW'),139,113,26
('RegQueryValueExW'; 'GetFileAttributesW'),114,114,0
('RegEnumKeyW'; 'GetLongPathNameW'),113,113,0
('GetLongPathNameW'; 'RegQueryValueExW'),112,112,0
('RegEnumKeyW'; 'GetFullPathNameW'),112,112,0
('HeapFree'; 'GetFileAttributesW'),114,114,0
('GetFileAttributesW'; 'HeapAlloc'),114,114,0
('GetFileAttributesW'; 'IsBadReadPtr'),114,114,0
('GetFullPathNameW'; 'RegQueryValueExW'),113,113,0
('GetFullPathNameW'; 'RegOpenKeyExW'),113,113,0
('GetLongPathNameW'; 'LoadLibraryA'),112,112,0
('RegOpenKeyExW'; 'GetLongPathNameW'),113,113,0
('HeapAlloc'; 'GetFileAttributesW'),114,114,0
('GetLongPathNameW'; 'LocalFree'),113,113,0
('GetFullPathNameW'; 'LoadLibraryA'),112,112,0
('RegOpenKeyExW'; 'GetFullPathNameW'),113,113,0
('GetFileAttributesW'; 'GetEnvironmentVariableW'),114,114,0
('GetCurrentProcessId'; 'GetFullPathNameW'),113,113,0
('GetFullPathNameW'; 'LocalFree'),113,113,0
('GetFileAttributesW'; 'LoadLibraryA'),112,112,0
('GlobalAlloc'; 'GetFullPathNameW'),112,112,0
('RegSetValueExW'; 'GetFileAttributesW'),113,113,0
('IsBadStringPtrW'; 'GetFileAttributesW'),114,114,0
('IsBadWritePtr'; 'GetFileAttributesW'),114,114,0
('RegQueryValueExW'; 'GetLongPathNameW'),113,113,0
('GetLongPathNameW'; 'LocalAlloc'),113,113,0
('RegQueryValueExW'; 'GetFullPathNameW'),113,113,0
('HeapFree'; 'GetLongPathNameW'),113,113,0
('GetFullPathNameW'; 'GetCurrentThreadId'),113,113,0
('GetFileAttributesW'; 'GlobalUnlock'),114,114,0
('GetFullPathNameW'; 'LocalAlloc'),113,113,0
('HeapFree'; 'GetFullPathNameW'),113,113,0
('GetFullPathNameW'; 'GetFileAttributesW'),113,113,0
('GlobalReAlloc'; 'GetLongPathNameW'),113,113,0
('GetFileAttributesW'; 'LocalAlloc'),114,114,0
('HeapAlloc'; 'GetLongPathNameW'),113,113,0
