RegOpenKeyExW, LoadLibraryW
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),84,77,7
('GetFileAttributesW';),64,64,0
('GetFullPathNameW';),73,73,0
('IsBadReadPtr'; 'GetFullPathNameW'),70,70,0
('IsBadReadPtr'; 'RegCreateKeyExW'),75,47,28
('GlobalUnlock'; 'GetProcAddress'),72,44,28
('RegQueryValueW'; 'RegCreateKeyExW'),66,38,28
('RegOpenKeyExA'; 'ReadFile'),82,75,7
('RegCreateKeyExW'; 'IsBadWritePtr'),70,42,28
('GetFullPathNameW'; 'HeapAlloc'),73,73,0
('LocalFree'; 'GetFullPathNameW'),73,73,0
('LocalFree'; 'RegCreateKeyExW'),77,49,28
('LocalAlloc'; 'GetFullPathNameW'),73,73,0
('RegCloseKey'; 'GetFileAttributesW'),64,64,0
('LocalAlloc'; 'RegCreateKeyExW'),77,49,28
('GetCurrentThreadId'; 'GetFileAttributesW'),64,64,0
('RegCreateKeyExW'; 'HeapAlloc'),77,49,28
('RegCreateKeyExW'; 'IsBadReadPtr'),69,41,28
('GlobalAlloc'; 'RegCreateKeyExW'),68,40,28
('GetEnvironmentVariableW'; 'RegCreateKeyExW'),74,46,28
('RegCloseKey'; 'GetFullPathNameW'),73,73,0
('GetCurrentThreadId'; 'GetFullPathNameW'),73,73,0
('GetCurrentThreadId'; 'RegCreateKeyExW'),77,49,28
('GetFullPathNameW'; 'HeapFree'),73,73,0
('RegOpenKeyExA'; 'GetFullPathNameW'),70,70,0
('GetFullPathNameW'; 'RegCloseKey'),68,68,0
('GetCurrentThread'; 'RegCreateKeyExW'),77,49,28
('HeapFree'; 'GetFileAttributesW'),64,64,0
('GetFileAttributesW'; 'HeapAlloc'),64,64,0
('GetFullPathNameW'; 'RegQueryValueExW'),68,68,0
('RegCreateKeyExW'; 'RegSetValueExW'),72,44,28
('RegEnumKeyW'; 'RegCreateKeyExW'),64,36,28
('HeapAlloc'; 'GetFileAttributesW'),64,64,0
('RegCreateKeyExW'; 'HeapFree'),77,49,28
('RegOpenKeyExW'; 'GetFullPathNameW'),73,73,0
('GetCurrentProcessId'; 'GetFullPathNameW'),70,70,0
('RegCreateKeyExW'; 'GetCurrentThread'),74,46,28
('GetFullPathNameW'; 'LocalFree'),71,71,0
('RegQueryValueExW'; 'GetFullPathNameW'),73,73,0
('RegEnumKeyW'; 'GetProcAddress'),70,42,28
('GetFullPathNameW'; 'GetCurrentThreadId'),68,68,0
('GetFullPathNameW'; 'LocalAlloc'),70,70,0
('HeapFree'; 'GetFullPathNameW'),73,73,0
('HeapFree'; 'RegCreateKeyExW'),77,49,28
('HeapAlloc'; 'GetFullPathNameW'),73,73,0
('RegCreateKeyExW'; 'LocalFree'),77,49,28
('HeapAlloc'; 'RegCreateKeyExW'),77,49,28
('IsBadStringPtrW'; 'GetFullPathNameW'),68,68,0
('IsBadWritePtr'; 'GetFullPathNameW'),70,70,0
('RegCreateKeyExW'; 'GetCurrentThreadId'),77,49,28
('RegCreateKeyExW'; 'LocalAlloc'),77,49,28
('IsBadStringPtrW'; 'RegCreateKeyExW'),74,46,28
('RegSetValueExW'; 'RegCreateKeyExW'),74,46,28
('IsBadWritePtr'; 'RegCreateKeyExW'),75,47,28
('GetFileAttributesW'; 'HeapFree'),64,64,0
('GlobalReAlloc'; 'GetProcAddress'),66,38,28
('RegQueryValueW'; 'GetProcAddress'),71,41,30
('GlobalLock'; 'GetProcAddress'),74,46,28
('LoadLibraryA'; 'GlobalFree'),70,44,26
