('GetProcAddress'; 'GetProcAddress'),benign
Pattern,Present,Absent
('SetThreadPriority';),benign,malicious
('OpenProcess';),benign,malicious
('ReadFile';),malicious,benign
('GetFileAttributesW';),malicious,benign
('GetFullPathNameW';),malicious,benign
('GlobalReAlloc'; 'RegCreateKeyExW'),benign,malicious
('GetFileAttributesW'; 'LocalAlloc'),malicious,benign
('RegOpenKeyExA'; 'GetFullPathNameW'),malicious,benign
('RegOpenKeyExA'; 'GetFileAttributesW'),malicious,benign
('GetCurrentThreadId'; 'GetFileAttributesW'),malicious,benign
('LocalFree'; 'GetFullPathNameW'),malicious,benign
('GetFullPathNameW'; 'IsBadWritePtr'),malicious,benign
('LocalFree'; 'GetFileAttributesW'),malicious,benign
('GetFullPathNameW'; 'IsBadReadPtr'),malicious,benign
('RegEnumKeyW'; 'RegCreateKeyExW'),benign,malicious
('GetFileAttributesW'; 'LoadLibraryA'),malicious,benign
('HeapAlloc'; 'GetFullPathNameW'),malicious,benign
('HeapAlloc'; 'GetFileAttributesW'),malicious,benign
('RegOpenKeyExW'; 'OpenProcess'),benign,malicious
('GetFullPathNameW'; 'GetFullPathNameW'),malicious,benign
('GetCurrentThreadId'; 'SetThreadPriority'),benign,malicious
('RegOpenKeyExW'; 'GetFullPathNameW'),malicious,benign
('GetFileAttributesW'; 'RegCloseKey'),malicious,benign
('GetCurrentThreadId'; 'OpenProcess'),benign,malicious
('GetFileAttributesW'; 'HeapFree'),malicious,benign
('GetCurrentThreadId'; 'GetFullPathNameW'),malicious,benign
('HeapFree'; 'OpenProcess'),benign,malicious
('GetFileAttributesW'; 'GetCurrentProcessId'),malicious,benign
('GetCurrentThread'; 'GetFullPathNameW'),malicious,benign
('GetCurrentThread'; 'GetFileAttributesW'),malicious,benign
('HeapAlloc'; 'OpenProcess'),benign,malicious
('HeapFree'; 'GetFullPathNameW'),malicious,benign
('GetFullPathNameW'; 'RegQueryValueExW'),malicious,benign
('GlobalFree'; 'RegCreateKeyExW'),benign,malicious
('HeapFree'; 'GetFileAttributesW'),malicious,benign
('GetFullPathNameW'; 'HeapAlloc'),malicious,benign
('GetFileAttributesW'; 'RegOpenKeyExA'),malicious,benign
('GlobalLock'; 'RegCreateKeyExW'),benign,malicious
('RegOpenKeyExA'; 'ReadFile'),malicious,benign
('GetFullPathNameW'; 'GetCurrentThreadId'),malicious,benign
('GetFileAttributesW'; 'LocalFree'),malicious,benign
('GetFileAttributesW'; 'GetCurrentThread'),malicious,benign
('GetFullPathNameW'; 'LocalAlloc'),malicious,benign
('GetFullPathNameW'; 'GetCurrentProcessId'),malicious,benign
('GetFileAttributesW'; 'RegOpenKeyExW'),malicious,benign
('LocalAlloc'; 'GetFileAttributesW'),malicious,benign
('GetFullPathNameW'; 'LoadLibraryA'),malicious,benign
('RegCloseKey'; 'GetFullPathNameW'),malicious,benign
('IsBadWritePtr'; 'GetFullPathNameW'),malicious,benign
('RegCloseKey'; 'GetFileAttributesW'),malicious,benign
('IsBadWritePtr'; 'GetFileAttributesW'),malicious,benign
('RegQueryValueW'; 'RegCreateKeyExW'),benign,malicious
('IsBadStringPtrW'; 'GetFullPathNameW'),malicious,benign
('RegCreateKeyExW'; 'IsBadStringPtrW'),benign,malicious
('IsBadStringPtrW'; 'GetFileAttributesW'),malicious,benign
('GetFileAttributesW'; 'GetFullPathNameW'),malicious,benign
('GetFileAttributesW'; 'GetFileAttributesW'),malicious,benign
('GetFullPathNameW'; 'RegOpenKeyExW'),malicious,benign
('GetFullPathNameW'; 'RegCloseKey'),malicious,benign
('GetFullPathNameW'; 'HeapFree'),malicious,benign
('IsBadReadPtr'; 'GetFullPathNameW'),malicious,benign
('IsBadReadPtr'; 'GetFileAttributesW'),malicious,benign
('LocalAlloc'; 'OpenProcess'),benign,malicious
('GlobalUnlock'; 'RegCreateKeyExW'),benign,malicious
('RegEnumValueW'; 'GetFullPathNameW'),malicious,benign
('RegEnumValueW'; 'GetFileAttributesW'),malicious,benign
('RegCloseKey'; 'OpenProcess'),benign,malicious
('GetFullPathNameW'; 'GetFileAttributesW'),malicious,benign
('LocalAlloc'; 'GetFullPathNameW'),malicious,benign
('CreateProcessW'; 'RegCreateKeyExW'),benign,malicious
('GetFileAttributesW'; 'RegQueryValueExW'),malicious,benign
('GetCurrentProcessId'; 'GetFullPathNameW'),malicious,benign
('GetFileAttributesW'; 'HeapAlloc'),malicious,benign
('RegOpenKeyExW'; 'GetFileAttributesW'),malicious,benign
('GetCurrentProcessId'; 'GetFileAttributesW'),malicious,benign
('GetFullPathNameW'; 'RegOpenKeyExA'),malicious,benign
('RegQueryValueExW'; 'GetFullPathNameW'),malicious,benign
('RegQueryValueExW'; 'GetFileAttributesW'),malicious,benign
('GetFileAttributesW'; 'GetCurrentThreadId'),malicious,benign
('GetFullPathNameW'; 'IsBadStringPtrW'),malicious,benign
('GetFullPathNameW'; 'LocalFree'),malicious,benign
('GetFullPathNameW'; 'GetCurrentThread'),malicious,benign
('LocalFree'; 'OpenProcess'),benign,malicious
