('ReadFile';),malicious
Pattern,Present,Absent
('GetFileAttributesW';),malicious,benign
('GetFullPathNameW';),malicious,benign
('GetFileAttributesW'; 'LocalAlloc'),malicious,benign
('RegOpenKeyExA'; 'GetFullPathNameW'),malicious,benign
('GetCurrentThread'; 'RegCreateKeyExW'),malicious,benign
('RegOpenKeyExA'; 'GetFileAttributesW'),malicious,benign
('GetCurrentThreadId'; 'GetFileAttributesW'),malicious,benign
('LocalFree'; 'GetFullPathNameW'),malicious,benign
('GetFullPathNameW'; 'IsBadWritePtr'),malicious,benign
('LocalFree'; 'GetFileAttributesW'),malicious,benign
('GetFullPathNameW'; 'IsBadReadPtr'),malicious,benign
('HeapFree'; 'RegCreateKeyExW'),malicious,benign
('GetFileAttributesW'; 'LoadLibraryA'),malicious,benign
('RegCreateKeyExW'; 'HeapAlloc'),malicious,benign
('HeapAlloc'; 'GetFullPathNameW'),malicious,benign
('HeapAlloc'; 'GetFileAttributesW'),malicious,benign
('RegCreateKeyExW'; 'LocalAlloc'),malicious,benign
('RegOpenKeyExW'; 'GetFullPathNameW'),malicious,benign
('LocalAlloc'; 'RegCreateKeyExW'),malicious,benign
('GetFileAttributesW'; 'RegCloseKey'),malicious,benign
('GetFileAttributesW'; 'HeapFree'),malicious,benign
('GetCurrentThreadId'; 'GetFullPathNameW'),malicious,benign
('GetCurrentThread'; 'GetFileAttributesW'),malicious,benign
('HeapFree'; 'GetFullPathNameW'),malicious,benign
('GetFullPathNameW'; 'RegQueryValueExW'),malicious,benign
('HeapFree'; 'GetFileAttributesW'),malicious,benign
('GetFullPathNameW'; 'HeapAlloc'),malicious,benign
('GetFileAttributesW'; 'RegOpenKeyExA'),malicious,benign
('GetFullPathNameW'; 'GetCurrentThreadId'),malicious,benign
('RegCreateKeyExW'; 'HeapFree'),malicious,benign
('GetFileAttributesW'; 'LocalFree'),malicious,benign
('GetFullPathNameW'; 'LocalAlloc'),malicious,benign
('GetFileAttributesW'; 'RegOpenKeyExW'),malicious,benign
('LocalAlloc'; 'GetFileAttributesW'),malicious,benign
('GetFullPathNameW'; 'LoadLibraryA'),malicious,benign
('RegCloseKey'; 'GetFullPathNameW'),malicious,benign
('IsBadWritePtr'; 'GetFullPathNameW'),malicious,benign
('RegCloseKey'; 'GetFileAttributesW'),malicious,benign
('IsBadStringPtrW'; 'GetFullPathNameW'),malicious,benign
('RegCreateKeyExW'; 'LocalFree'),malicious,benign
('GetCurrentThreadId'; 'RegCreateKeyExW'),malicious,benign
('LocalFree'; 'RegCreateKeyExW'),malicious,benign
('GetFullPathNameW'; 'RegCloseKey'),malicious,benign
('GetFullPathNameW'; 'HeapFree'),malicious,benign
('IsBadReadPtr'; 'GetFullPathNameW'),malicious,benign
('HeapAlloc'; 'RegCreateKeyExW'),malicious,benign
('RegCreateKeyExW'; 'GetCurrentThreadId'),malicious,benign
('LocalAlloc'; 'GetFullPathNameW'),malicious,benign
('GetFileAttributesW'; 'RegQueryValueExW'),malicious,benign
('GetCurrentProcessId'; 'GetFullPathNameW'),malicious,benign
('GetFileAttributesW'; 'HeapAlloc'),malicious,benign
('RegOpenKeyExW'; 'GetFileAttributesW'),malicious,benign
('GetCurrentProcessId'; 'GetFileAttributesW'),malicious,benign
('GetFullPathNameW'; 'RegOpenKeyExA'),malicious,benign
('RegQueryValueExW'; 'GetFullPathNameW'),malicious,benign
('RegQueryValueExW'; 'GetFileAttributesW'),malicious,benign
('GetFileAttributesW'; 'GetCurrentThreadId'),malicious,benign
('GetFullPathNameW'; 'IsBadStringPtrW'),malicious,benign
('GetFullPathNameW'; 'LocalFree'),malicious,benign
