('LoadLibraryA'; 'LoadLibraryA'),benign
Pattern,Present,Absent
('SetThreadPriority';),benign,malicious
('OpenProcess';),benign,malicious
('ReadFile';),malicious,benign
('GetFileAttributesW';),malicious,benign
('GetFullPathNameW';),malicious,benign
('GetLongPathNameW';),malicious,benign
('GetLongPathNameW'; 'RegQueryValueExW'),malicious,benign
('GetFileAttributesW'; 'RegSetValueExW'),malicious,benign
('GetLongPathNameW'; 'HeapAlloc'),malicious,benign
('SetThreadPriority'; 'HeapFree'),benign,malicious
('GetLongPathNameW'; 'RegCloseKey'),malicious,benign
('GetFileAttributesW'; 'LocalAlloc'),malicious,benign
('RegOpenKeyExA'; 'GetFullPathNameW'),malicious,benign
('OpenProcess'; 'RegOpenKeyExW'),benign,malicious
('RegOpenKeyExA'; 'GetFileAttributesW'),malicious,benign
('GetCurrentThreadId'; 'GetFileAttributesW'),malicious,benign
('GlobalReAlloc'; 'GetLongPathNameW'),malicious,benign
('LocalFree'; 'GetFullPathNameW'),malicious,benign
('GetFullPathNameW'; 'IsBadWritePtr'),malicious,benign
('GetLongPathNameW'; 'HeapFree'),malicious,benign
('LocalFree'; 'GetFileAttributesW'),malicious,benign
('GetFullPathNameW'; 'IsBadReadPtr'),malicious,benign
('GetCurrentThreadId'; 'GetLongPathNameW'),malicious,benign
('GetCurrentThread'; 'GetLongPathNameW'),malicious,benign
('GlobalLock'; 'GetFullPathNameW'),malicious,benign
('SetThreadPriority'; 'RegCreateKeyExW'),benign,malicious
('GetFileAttributesW'; 'LoadLibraryA'),malicious,benign
('LoadLibraryExW'; 'GetLongPathNameW'),malicious,benign
('RegOpenKeyExW'; 'SetThreadPriority'),benign,malicious
('HeapAlloc'; 'GetFullPathNameW'),malicious,benign
('GetLongPathNameW'; 'GetCurrentProcessId'),malicious,benign
('HeapAlloc'; 'GetFileAttributesW'),malicious,benign
('HeapFree'; 'GetLongPathNameW'),malicious,benign
('RegEnumKeyW'; 'GetLongPathNameW'),malicious,benign
('GlobalUnlock'; 'GetFullPathNameW'),malicious,benign
('HeapAlloc'; 'GetLongPathNameW'),malicious,benign
('GlobalUnlock'; 'GetFileAttributesW'),malicious,benign
('SetThreadPriority'; 'RegOpenKeyExA'),benign,malicious
('RegOpenKeyExW'; 'OpenProcess'),benign,malicious
('HeapFree'; 'SetThreadPriority'),benign,malicious
('GetCurrentProcessId'; 'OpenProcess'),benign,malicious
('GetFileAttributesW'; 'RegEnumValueW'),malicious,benign
('GetFullPathNameW'; 'GetFullPathNameW'),malicious,benign
('GetFullPathNameW'; 'RegSetValueExW'),malicious,benign
('GlobalUnlock'; 'GetLongPathNameW'),malicious,benign
('RegQueryValueExW'; 'OpenProcess'),benign,malicious
('GlobalReAlloc'; 'SetThreadPriority'),benign,malicious
('GlobalAlloc'; 'OpenProcess'),benign,malicious
('GetLongPathNameW'; 'RegOpenKeyExA'),malicious,benign
('SetThreadPriority'; 'LocalFree'),benign,malicious
('SetThreadPriority'; 'GetCurrentThread'),benign,malicious
('GetCurrentThreadId'; 'SetThreadPriority'),benign,malicious
('GetCurrentThread'; 'SetThreadPriority'),benign,malicious
('GetFullPathNameW'; 'GlobalUnlock'),malicious,benign
('RegOpenKeyExW'; 'GetFullPathNameW'),malicious,benign
('GetFileAttributesW'; 'RegCloseKey'),malicious,benign
('GetLongPathNameW'; 'IsBadStringPtrW'),malicious,benign
