('GetProcAddress'; 'LoadLibraryW'),benign
Pattern,Present,Absent
('ReadFile';),malicious,benign
('GetFullPathNameW';),malicious,benign
('RegOpenKeyExA'; 'GetFullPathNameW'),malicious,benign
('GetCurrentThread'; 'RegCreateKeyExW'),benign,malicious
('LocalFree'; 'GetFullPathNameW'),malicious,benign
('GlobalLock'; 'GetProcAddress'),benign,malicious
('HeapFree'; 'RegCreateKeyExW'),benign,malicious
('RegCreateKeyExW'; 'HeapAlloc'),benign,malicious
('HeapAlloc'; 'GetFullPathNameW'),malicious,benign
('RegCreateKeyExW'; 'LocalAlloc'),benign,malicious
('RegOpenKeyExW'; 'GetFullPathNameW'),malicious,benign
('LocalAlloc'; 'RegCreateKeyExW'),benign,malicious
('RegQueryValueW'; 'GetProcAddress'),benign,malicious
('IsBadWritePtr'; 'RegCreateKeyExW'),benign,malicious
('IsBadStringPtrW'; 'RegCreateKeyExW'),benign,malicious
('GetCurrentThreadId'; 'GetFullPathNameW'),malicious,benign
('LoadLibraryA'; 'GlobalFree'),benign,malicious
('RegCreateKeyExW'; 'GetCurrentThread'),benign,malicious
('HeapFree'; 'GetFullPathNameW'),malicious,benign
('GetFullPathNameW'; 'RegQueryValueExW'),malicious,benign
('GetFullPathNameW'; 'HeapAlloc'),malicious,benign
('GlobalUnlock'; 'GetProcAddress'),benign,malicious
('RegSetValueExW'; 'RegCreateKeyExW'),benign,malicious
('RegOpenKeyExA'; 'ReadFile'),malicious,benign
('GetFullPathNameW'; 'GetCurrentThreadId'),malicious,benign
('RegCreateKeyExW'; 'HeapFree'),benign,malicious
('IsBadReadPtr'; 'RegCreateKeyExW'),benign,malicious
('GetFullPathNameW'; 'LocalAlloc'),malicious,benign
('RegCloseKey'; 'GetFullPathNameW'),malicious,benign
('IsBadWritePtr'; 'GetFullPathNameW'),malicious,benign
('GlobalAlloc'; 'RegCreateKeyExW'),benign,malicious
('IsBadStringPtrW'; 'GetFullPathNameW'),malicious,benign
('RegCreateKeyExW'; 'LocalFree'),benign,malicious
('RegEnumKeyW'; 'GetProcAddress'),benign,malicious
('GetCurrentThreadId'; 'RegCreateKeyExW'),benign,malicious
('LocalFree'; 'RegCreateKeyExW'),benign,malicious
('RegCreateKeyExW'; 'IsBadWritePtr'),benign,malicious
('GetFullPathNameW'; 'RegCloseKey'),malicious,benign
('RegCreateKeyExW'; 'IsBadReadPtr'),benign,malicious
('GetFullPathNameW'; 'HeapFree'),malicious,benign
('IsBadReadPtr'; 'GetFullPathNameW'),malicious,benign
('HeapAlloc'; 'RegCreateKeyExW'),benign,malicious
('RegCreateKeyExW'; 'GetCurrentThreadId'),benign,malicious
('RegCreateKeyExW'; 'RegSetValueExW'),benign,malicious
('LocalAlloc'; 'GetFullPathNameW'),malicious,benign
('GetCurrentProcessId'; 'GetFullPathNameW'),malicious,benign
('GetEnvironmentVariableW'; 'RegCreateKeyExW'),benign,malicious
('RegQueryValueExW'; 'GetFullPathNameW'),malicious,benign
('GetFullPathNameW'; 'LocalFree'),malicious,benign
