Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('SetThreadPriority';),168,123,45
('OpenProcess';),168,122,46
('ReadFile';),160,152,8
('GetFileAttributesW';),242,242,0
('GetFullPathNameW';),248,248,0
('GetLongPathNameW';),223,223,0
('IsBadReadPtr'; 'GetFullPathNameW'),245,245,0
('GetLongPathNameW'; 'IsBadWritePtr'),215,215,0
('RegEnumKeyW'; 'SetThreadPriority'),163,118,45
('RegOpenKeyExW'; 'LoadLibraryW'),160,122,38
('GetProcAddress'; 'LoadLibraryA'),256,199,57
('GetFullPathNameW'; 'IsBadWritePtr'),234,234,0
('IsBadReadPtr'; 'RegCreateKeyExW'),193,148,45
('OpenProcess'; 'LocalFree'),163,117,46
('HeapAlloc'; 'OpenProcess'),168,122,46
('LocalFree'; 'GetFileAttributesW'),240,240,0
('GlobalUnlock'; 'GetProcAddress'),163,124,39
('GetFileAttributesW'; 'IsBadWritePtr'),223,223,0
('GetProcAddress'; 'GetProcAddress'),234,177,57
('RegQueryValueW'; 'GetLongPathNameW'),214,214,0
('GlobalLock'; 'GetLongPathNameW'),213,213,0
('CreateProcessW'; 'GetLongPathNameW'),211,211,0
('RegQueryValueW'; 'GetFullPathNameW'),212,212,0
('SetThreadPriority'; 'RegOpenKeyExA'),160,117,43
('RegSetValueExW'; 'GlobalReAlloc'),235,210,25
('GlobalLock'; 'GetFullPathNameW'),215,215,0
('RegSetValueExW'; 'GlobalSize'),236,211,25
('LocalAlloc'; 'GetFileAttributesW'),241,241,0
('OpenProcess'; 'GetCurrentThreadId'),160,114,46
('RegSetValueExW'; 'OpenProcess'),158,113,45
('IsBadStringPtrW'; 'OpenProcess'),161,115,46
('RegCreateKeyExW'; 'SetThreadPriority'),158,113,45
('IsBadWritePtr'; 'OpenProcess'),161,115,46
('RegQueryValueW'; 'RegCreateKeyExW'),184,139,45
('GlobalFree'; 'SetThreadPriority'),163,119,44
('GlobalUnlock'; 'GetFileAttributesW'),214,214,0
('CreateProcessW'; 'RegCreateKeyExW'),177,132,45
('GlobalLock'; 'RegCreateKeyExW'),179,135,44
('SetThreadPriority'; 'SetThreadPriority'),157,113,44
('RegEnumValueW'; 'GetLongPathNameW'),216,216,0
('GetLongPathNameW'; 'HeapAlloc'),223,223,0
('GetLongPathNameW'; 'IsBadReadPtr'),216,216,0
('RegOpenKeyExA'; 'ReadFile'),156,149,7
('RegCreateKeyExW'; 'IsBadWritePtr'),188,143,45
('GlobalReAlloc'; 'SetThreadPriority'),162,118,44
('GetFullPathNameW'; 'HeapAlloc'),248,248,0
('GetFullPathNameW'; 'IsBadReadPtr'),235,235,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),225,225,0
('SetThreadPriority'; 'IsBadWritePtr'),164,120,44
('LocalFree'; 'GetLongPathNameW'),223,223,0
('OpenProcess'; 'IsBadWritePtr'),163,117,46
('LocalFree'; 'GetFullPathNameW'),248,248,0
('HeapAlloc'; 'SetThreadPriority'),167,122,45
('LocalAlloc'; 'GetLongPathNameW'),223,223,0
('LocalFree'; 'RegCreateKeyExW'),195,150,45
('LocalAlloc'; 'GetFullPathNameW'),248,248,0
('RegCloseKey'; 'GetFileAttributesW'),242,242,0
('GetLongPathNameW'; 'RegOpenKeyExA'),211,211,0
('GetCurrentProcessId'; 'GetLongPathNameW'),218,218,0
('GlobalUnlock'; 'GetLongPathNameW'),213,213,0
('RegOpenKeyExA'; 'GetProcAddress'),260,201,59
('RegSetValueExW'; 'SetThreadPriority'),164,119,45
('IsBadStringPtrW'; 'SetThreadPriority'),164,119,45
('GlobalUnlock'; 'GetFullPathNameW'),214,214,0
('IsBadWritePtr'; 'SetThreadPriority'),164,119,45
('LocalAlloc'; 'RegCreateKeyExW'),195,150,45
('GetCurrentThreadId'; 'GetFileAttributesW'),242,242,0
('GlobalAlloc'; 'GetLongPathNameW'),215,215,0
('GetLongPathNameW'; 'GlobalUnlock'),210,210,0
