RegOpenKeyExW
LoadLibraryA
RegOpenKeyExA
HeapAlloc
HeapFree
RegQueryValueExW
RegCloseKey
GetCurrentThreadId
GetCurrentThreadId, HeapFree
RegOpenKeyExA, LoadLibraryA
LoadLibraryA, RegQueryValueExW
RegCloseKey, LoadLibraryA
HeapAlloc, HeapFree
LoadLibraryA, RegOpenKeyExW
RegOpenKeyExW, RegOpenKeyExA
RegQueryValueExW, RegOpenKeyExA
LoadLibraryA, RegCloseKey
RegOpenKeyExA, RegOpenKeyExA
GetCurrentThreadId, HeapAlloc
RegQueryValueExW, RegQueryValueExW
RegOpenKeyExW, RegQueryValueExW
RegCloseKey, RegOpenKeyExA
RegQueryValueExW, RegOpenKeyExW
HeapAlloc, HeapAlloc
RegOpenKeyExW, RegOpenKeyExW
HeapFree, HeapFree
HeapAlloc, GetCurrentThreadId
RegOpenKeyExA, RegQueryValueExW
RegQueryValueExW, RegCloseKey
RegOpenKeyExW, RegCloseKey
RegCloseKey, RegQueryValueExW
RegOpenKeyExA, RegOpenKeyExW
RegCloseKey, RegOpenKeyExW
RegOpenKeyExA, RegCloseKey
RegQueryValueExW, LoadLibraryA
RegOpenKeyExW, LoadLibraryA
HeapFree, HeapAlloc
LoadLibraryA, RegOpenKeyExA
RegCloseKey, RegCloseKey
HeapFree, GetCurrentThreadId
RegQueryValueExW, RegQueryValueExW, RegCloseKey
RegQueryValueExW, RegCloseKey, RegQueryValueExW
RegQueryValueExW, RegCloseKey, RegOpenKeyExW
HeapAlloc, HeapFree, HeapAlloc
HeapAlloc, HeapFree, GetCurrentThreadId
GetCurrentThreadId, HeapAlloc, HeapAlloc
LoadLibraryA, RegCloseKey, RegQueryValueExW
RegOpenKeyExW, RegOpenKeyExA, RegCloseKey
LoadLibraryA, RegCloseKey, RegOpenKeyExW
RegQueryValueExW, RegCloseKey, LoadLibraryA
RegOpenKeyExA, RegCloseKey, RegOpenKeyExA
RegOpenKeyExA, RegCloseKey, RegQueryValueExW
RegCloseKey, RegCloseKey, RegCloseKey
RegOpenKeyExA, RegCloseKey, RegOpenKeyExW
RegQueryValueExW, RegCloseKey, RegOpenKeyExA
LoadLibraryA, RegQueryValueExW, RegQueryValueExW
RegQueryValueExW, RegOpenKeyExA, RegCloseKey
RegOpenKeyExA, RegQueryValueExW, RegOpenKeyExA
RegCloseKey, RegOpenKeyExW, RegOpenKeyExA
RegOpenKeyExA, RegOpenKeyExW, RegOpenKeyExA
HeapFree, HeapFree, HeapFree
RegOpenKeyExA, RegCloseKey, LoadLibraryA
RegOpenKeyExW, RegCloseKey, RegOpenKeyExA
RegQueryValueExW, RegCloseKey, RegCloseKey
RegOpenKeyExA, RegQueryValueExW, RegQueryValueExW
RegCloseKey, RegOpenKeyExW, RegQueryValueExW
